sentence,mdd,t_depth,no_change,summarizing,bigrams,words,letters,word_avg,numbers,symbols,if_question,punctuation,sym_hashtag,sym_shtrudel,sym_dollar,sym_ampersand,sym_percend,sym_star,sym_tilda,sym_math,sym_logic,sym_brackets,sym_num,sym_quotes,sym_slashes,NN,VB,JJ,PREPOSITION,DEF,CONJ,BN,NNP,NNT,TEMP,RB,CC,AT,QW,REL,PRP,IN,DTT,DT,MD
"לעיתים קרובות ניתן להבחין במזג שלו על פי תגובותיו למצבים שונים כמו אי־נוחות, שביעות רצון, ערנות, עייפות, רעב ושובע.",10.52,22,0,1,18,20,91,4.55,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,8,6,0,2,0,10,4,0,0,0,0,0,2,0,4,0,0,2
בשבועות הראשונים הלבישו את התינוק שלכם בשתי גופיות ובמכנסיים עם רגלית.,9.18,19,1,0,10,11,59,5.364,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,6,8,2,0,2,0,0,0,0,2,0,0,0,4,0,0,0
"מותר לך להכניס מלווה מטעמך, שיהיה נוכח בעת הבדיקה הגופנית.",7.23,15,0,1,9,10,47,4.7,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,4,0,2,4,2,0,0,0,0,0,2,0,2,0,0,0
"תנאי שלישי - הפסקת עבודה אתה עשוי להיות זכאי לדמי אבטלה אם הוצאת לחל""ת, פוטרת או שהפסקת לעבוד מרצונך.",10.22,21,0,1,18,19,79,4.158,0,4,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,6,2,2,4,0,0,4,4,12,0,0,4,0,0,2,2,0,0,0,0
"אסור ללחוץ על השד, ובמקרה של אודם יש לפנות לרופא.",8.0,16,0,1,9,10,38,3.8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,4,6,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2
במקרה כזה יוזמנו ההורים והילד לאבחון רב־תחומי ולקביעת תוכנית טיפולים אישית שתתואם בין הגורמים המטפלים.,12.62,25,0,1,14,16,86,5.375,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,2,8,10,4,0,2,6,0,0,0,0,0,2,2,2,0,0,0
"רכב המשמש להוראת נהיגה, כמשמעותו בתקנות התעבורה, בעת שיש בו תלמיד נהיגה.",8.83,17,0,1,11,12,58,4.833,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,2,0,2,4,4,0,0,0,0,0,4,0,2,0,0,0
מהניסיון ידוע שפעמים רבות הדברים פשוט מסתדרים מעצמם.,6.36,11,0,1,7,8,44,5.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,4,4,0,2,2,0,0,2,0,0,0,2,0,0,0,0,0
הטמפרטורה המומלצת בחדר התינוק היא 24-22 מעלות צלזיוס בחורף ובקיץ.,9.0,19,0,1,9,11,54,4.909,4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,2,6,10,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0
מטרת הטיפול באינסולין היא להפחית את רמת הגלוקוזה הגבוהה בדם המופיעה בעיקר אחרי ארוחות.,9.61,20,0,1,13,14,72,5.143,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,4,10,0,2,2,6,0,2,0,2,0,0,0,2,0,0,0
הם חולפים בתוך כמה ימים ללא טיפול.,3.33,6,0,1,6,7,27,3.857,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,4,2,0,0
זה נורמלי?,2.0,2,1,0,1,2,8,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
אין צורך לטפל בכך.,3.4,6,0,1,3,4,14,3.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
"במקרה כזה, עליך להודיע על כך לוועדה, ותוזמן לוועדה אחרת.",8.62,17,0,1,9,10,44,4.4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,8,4,2,0,4,0,0,0,0,0,0,0,2,4,0,0,0
"חשוב לשמור על עותק זה, הוא יכול לשמש אותך לצורך בקשת פטור ממס הכנסה או לצרכים אחרים.",10.5,20,0,1,16,17,66,3.882,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,2,8,2,0,0,2,6,0,0,2,2,0,0,0,2,0,0,4
"בעקבות משבר הקורונה, ניתן לקבל דמי אבטלה אם יש לך לפחות 6 חודשי אכשרה ב-18 החודשים האחרונים - למידע נוסף לחץ כאן.",12.86,29,0,1,21,22,88,4.0,3,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,14,2,4,8,8,0,0,0,6,0,2,2,0,0,0,0,4,0,0,2
"אם נראה לכם שהתינוק אדיש, מנומנם, מגיב באיטיות ומסרב לאכול, מדדו את חום גופו.",9.68,19,0,1,13,14,60,4.286,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,6,4,2,4,6,2,0,0,2,2,0,2,0,2,0,0,0
לפעמים רמת הבילירובין גבוהה מהרגיל מסיבות שונות כמו אי־התאמה בין קבוצת דם האם לקבוצת דם התינוק.,10.65,20,0,1,15,17,78,4.588,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,6,8,0,0,0,10,0,2,0,0,0,0,0,4,0,0,0
"במקרה של אי הסכמה להחלטת ועדת ההשמה רשאי הילד בעל צרכים מיוחדים, ההורה או נציג של ארגון ציבורי להגיש ערר לוועדת ערר, תוך 21 ימים מיום שקיבל את ההחלטה.",17.09,35,0,1,28,29,119,4.103,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,2,8,10,0,0,4,10,0,0,2,2,0,2,0,2,0,0,2
"אתה תושב השטחים ויש לך היתר כניסה ממפקד כוחות הצבא בשטח, ונפגעת בתחום הקו הירוק.",12.04,24,0,1,14,15,64,4.267,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,10,4,2,2,10,0,0,0,0,0,0,2,2,0,0,0
במקרה כזה יישלח אליך מכתב שבו יפורט מה מבקשת הוועדה.,7.64,15,0,1,9,10,42,4.2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,2,0,2,2,0,0,0,0,0,2,2,2,4,0,0,0
השימוש באינסולין קצר־טווח ביחד עם הארוחות מסייע מאוד בהקשר זה.,7.08,14,0,1,9,11,51,4.636,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,6,0,2,4,2,0,4,0,0,0,0,0,2,0,0,0
במקרה זה ניתן להיות זכאי לתגמולים החל מיום 201,6.67,12,0,1,8,9,38,4.222,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,8,2,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0
"חיסונים שונים הניתנים כיום כלל לא ניתנו בעבר, ועם השנים, ככל שמתבגרים, אנו עדים גם לתופעה של ירידה ברמת החיסוניות של חיסונים אחרים.",14.86,29,0,1,22,23,105,4.565,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,4,6,6,2,2,4,2,0,8,2,0,0,4,2,2,0,0,0
"תלמידים במצב חירום, כגון תלמידים שנשרו מפנימייה או עזבו אותה והעובד הסוציאלי שהוא פקיד סעד לחוק נוער סבור כי יש לדון בעניינם בוועדת השמה.",17.29,33,0,1,23,24,112,4.667,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,4,12,8,2,0,4,8,0,0,4,2,0,4,2,2,0,0,0
"באזורים מרוחקים נוסף גם הסיכון של חוסר הזמינות של עזרה רפואית ממוסדת, בתי־חולים ומרפאות, ברמה שאליה רגילים בישראל.",14.11,31,0,1,17,19,93,4.895,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,6,12,8,2,0,2,2,0,2,0,0,0,2,0,2,0,0,0
"אם טרם מילאתם את השאלונים, תוכלו להוריד אותם כאן:צוות המומחים של הוועדה כולל אנשי מקצוע מכל התחומים שקשורים להתפתחות הילד: רפואה, פסיכולוגיה, עבודה סוציאלית, פיזיותרפיה, ריפוי בעיסוק וקלינאות תקשורת.",19.95,41,0,1,28,30,163,5.433,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,2,8,14,2,4,12,4,0,2,2,4,0,2,0,0,2,0,2
מומלץ להכין מראש דף ובו מפורטים המחלות או הליקויים הרפואיים שלך וכן הקשיים שלך לתפקד.,11.82,25,0,1,14,15,70,4.667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,8,4,2,2,0,0,4,2,0,0,2,0,6,0,0,2
הבדיקה מתבצעת תוך התייחסות לקשיים שציינת ולסוג המחלה שלך.,7.64,14,0,1,8,9,48,5.333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,4,4,2,2,2,0,0,0,0,0,0,4,0,2,0,0,0
"אפשר לחמם את החדר בכל אמצעי החימום, אך מטעמי בטיחות עדיף להשתמש במכשירי חימום חשמליים כמו רדיאטור או מזגן.",10.95,23,0,1,18,19,86,4.526,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,2,6,4,0,0,2,6,0,0,4,2,0,0,0,2,2,0,4
"את התרופות יש לקחת בתיק האישי, ולא במזוודה המאופסנת בבטן המטוס.",9.89,19,0,1,10,11,51,4.636,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,6,10,2,2,2,2,0,2,0,2,0,2,0,0,0,0,2
מי לא זכאי לדמי אבטלה?,3.6,5,1,0,4,5,17,3.4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,0,0,0,2
"מי שמגיש בקשה לקבל מהביטוח הלאומי קצבה עקב נכותו, צריך להיבדק בוועדה רפואית.",9.5,19,0,1,12,13,62,4.769,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2,6,6,0,2,2,0,0,0,0,0,2,2,0,2,0,0,2
"בנוסף, הורחבה ההגדרה של ""מחזיק למעשה"", האחראי לאכיפת החוק.",6.85,15,0,1,8,9,45,5.0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,6,2,2,4,8,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
המצב הזה דורש התייחסות ובדיקות מעקב נוספות.,5.11,9,0,1,6,7,36,5.143,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,4,2,2,2,2,0,0,0,0,0,0,2,0,0,0,0
"צהבת פיזיולוגית היא לא מחלה, ולכן אינה מידבקת.",5.75,9,0,1,7,8,37,4.625,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0
מטרת הטיפול היא להפחית ככל הניתן את רמת ההמוגלובין הקשור לסוכר (HbA1C) ולשמור על רמת גלוקוזה שקרובה ככל האפשר למדד המקובל.,16.08,32,0,1,20,21,99,4.714,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,6,12,2,2,4,6,0,0,2,2,0,6,0,2,2,0,2
מהו ההבדל בין סוכרת נעורים לסוכרת מבוגרים?,4.75,9,1,0,6,7,35,5.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,4,0,0,2,2,0,0,0,0,2,0,0,2,0,0,0
הילד יוזמן לאבחונים שמיועדים לקבוע את תחומי החוזקה והקושי שלו ולהתאים תוכנית טיפול לצרכיו.,11.77,22,0,1,13,14,76,5.429,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,4,10,4,2,0,2,0,0,0,2,0,2,0,0,0,0,0
"עישון במקום ציבורי או החזקת כלי עישון דלוק בניגוד לחוק - 1,000 ₪ קנסאי הצבת שילוט האוסר עישון במקום / החזקת שילוט לא תקין - 5,000 ₪ קנסהצבת מאפרה במקום האסור לעישון - 1,000 ₪ קנסהמחזיק במקום ציבורי חייב לפקח ולעשות כל שניתן למניעת עישון בתחום המקום הציבורי שבהחזקתו.",30.87,63,0,1,48,45,207,4.6,12,11,0,4,0,0,0,0,0,0,0,4,0,0,0,0,1,28,4,8,18,14,2,2,16,18,0,2,2,0,0,4,0,4,2,0,0
"ככלל, יש לתאם עימן מראש את הצורך בחמצן במהלך הטיסה.",7.4,17,0,1,9,10,40,4.0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,6,6,0,0,0,0,0,2,0,2,0,0,0,2,0,0,2
אסור להציב מאפרה במקום ציבורי.,3.5,6,1,0,4,5,25,5.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
לצורך זה לומדים הסוכרתיים לבדוק בעצמם את רמת הסוכר בדמם.,6.46,13,0,1,9,10,46,4.6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,6,4,0,2,0,2,0,0,0,2,0,0,4,0,0,0,0
בימים הראשונים לאחר הלידה מאבד התינוק בדרך־כלל בין 5% ל־7% ממשקלו.,7.29,14,0,1,10,13,51,3.923,2,5,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,8,0,0,6,12,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0
לעיתים יש צורך לעכב את  שחרור התינוק לביתו כדי לעקוב אחר מהלך הצהבת.,3.93,11,0,1,12,13,54,4.154,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,2,4,0,0,0,4,0,2,0,2,0,0,0,4,0,0,0
"בוועדת השמה מתקבלת ההחלטה אם התלמיד ילמד בחינוך רגיל או בחינוך מיוחד, ובאיזו מסגרת ישובץ: גן לחינוך מיוחד, כיתת חינוך מיוחד בבי""ס רגיל, או בי""ס לחינוך מיוחד.",18.22,36,0,1,26,29,124,4.276,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,22,4,4,14,10,2,2,10,4,0,0,6,0,2,0,0,0,0,0,0
"פגיעה שאירעה החל מיום 2012 תוכר פגיעת איבה בחוץ לארץ, גם אם מטרתה לא הייתה פגיעה בישראל או בעם היהודי, ובתנאי שפעולת האיבה התרחשה על ידי ארגון שאחת ממטרותיו היא פגיעה בישראל, באזרחי ישראל או ביהודים.",27.35,58,0,1,35,36,160,4.444,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,0,20,16,2,0,6,10,0,4,6,0,0,6,0,2,0,0,0
"הערה: בתי החולים, מרפאות, משרדים ממשלתיים, חניונים, גני חיות ואירועים, רשאים לקבוע אזורי עישון בטווח של 10 מטרים מהכניסה או מהיציאה בתנאי שלא יהוו מטרד בחלקים אחרים של המקום, למעט בתימגורים/בניין מגורים.",21.07,46,0,1,31,33,163,4.939,2,9,0,8,0,0,0,0,0,0,0,1,0,0,0,0,1,28,8,2,16,10,2,0,10,6,0,0,2,0,0,0,0,0,0,0,2
"יש לזכור שמיומנויות רבות נרכשות עם הגיל, ולכן יש סדר בטיפול.",7.93,16,0,1,10,11,48,4.364,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,2,4,2,2,0,0,0,0,2,0,0,2,0,2,0,0,2
"תהליכים אלה עלולים לגרום לתחושת־בלבול ולעלייה במפלס החרדה אצל המטיילים מבוגרים, אך ניתן בהחלט לפעול לצמצומן באמצעות הכנה מתאימה לפני הטיול.",13.46,26,0,1,20,22,116,5.273,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,2,8,8,2,0,2,2,0,2,2,0,0,0,2,6,0,0,2
מה עושים?,2.0,2,1,0,1,2,7,3.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
לתינוק שלי יש כתמים אדומים בעור.,5.22,11,1,0,5,6,26,4.333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"בריאות הרגליים: חשוב שמטיילים סוכרתיים יצטיידו בנעליים מתאימות וידאגו להיגיינה מתאימה של כפות הרגליים, כדי למנוע התהוות של פצעים וכיבים כרוניים.",13.93,27,0,1,20,21,121,5.762,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,6,8,4,4,0,0,4,0,0,0,0,0,2,0,2,0,0,2
"יש להביא בחשבון, כי בנסיבות מסוימות, ובהתחשב במצב הבריאותי, הרופאים עשויים להמליץ גם לבצע שינוי מהותי במסלול, או אף לדחות את הנסיעה.",14.79,29,0,1,21,22,106,4.818,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,2,8,10,2,0,2,2,0,2,6,2,0,0,0,0,0,0,4
"חשוב שתדעו כי מתחת למטרייה שנקראת ""קשיים בהתפתחות הילד"" מצוי ספקטרום נרחב של מצבים.",9.12,17,0,1,13,14,67,4.786,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,8,2,2,4,4,0,4,2,2,0,0,2,0,0,4,0,2,0,0,2
"לכן יש להצטייד גם בטבליות או בג'ל גלוקוז, או בזריקות גלוקגון, לפי המלצת הרופא או הרופאה המטפלים.",9.3,23,0,1,16,18,76,4.222,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,0,6,6,0,0,8,4,0,2,8,0,0,0,0,2,0,0,2
"משרדי אגף הגבייה נמצאים ברח' הדסה 78, קבלת קהל היא בימים א', ב', ה' בין השעות 8:30-13:00, בימי ג' בין השעות 8:30-13:00 ו- 16:30-18:3",14.6,29,0,1,23,33,90,2.727,23,19,0,15,0,0,0,0,0,0,0,4,0,0,0,5,0,16,2,0,6,10,0,2,6,8,0,0,0,0,0,0,0,4,0,0,0
"הבקשה תועלה לדיון במחוז, תוך 16 יום מיום קבלת הפנייה במחוז.",8.06,19,0,1,10,11,47,4.273,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,8,8,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0
"בכל מקרה, אם נוסעים עם מחלת־לב מומלץ להתייעץ הן עם הרופא או הרופאה במרפאת־המטיילים והן עם הרופא או הרופאה המבצעים את המעקב אחר מחלת הלב ולגבש תוכנית פעולה ברורה למקרה שיופיעו סיבוכים (למשל: שמות וכתובות מדויקים של מרפאות או בתי־חולים אמינים ביעדים השונים וכיצד בדיוק מגיעים אליהם).",31.34,63,0,1,46,50,227,4.54,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,38,6,10,12,20,8,6,4,2,0,2,8,2,2,4,2,8,2,0,0
"לאחות טיפת חלב יש ניסיון רב בתחומים רבים: גדילת התינוק, התפתחות התינוק, טיפול בתינוק, הסתגלות להורות, משכב לידה ועוד.",11.28,27,0,1,18,19,93,4.895,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,8,8,2,0,4,10,0,0,0,0,0,0,0,0,0,0,0
"אם משהו לא ברור לרופא, הוא ישאל אותך.",5.25,8,1,0,7,8,28,3.5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,0,0
החומר הזה מסכן את הגוף אם הוא מגיע לרמות גבוהות בדם.,8.07,17,0,1,10,11,41,3.727,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,4,8,0,4,0,0,0,0,2,2,0,0,4,0,0,0,0
"בטיסה:יש להעריך את המצב לפני הטיסה, בייחוד אם קיימות מחלות רקע נוספות.",6.36,14,0,1,11,13,56,4.308,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,4,4,0,0,4,4,0,0,0,2,0,0,0,2,0,0,0
האם הטיפול באינסולין כרוך בתופעות לוואי?,5.7,12,0,1,5,6,34,5.667,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,6,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
תשובות ישלחו בכתב להורים.,3.5,7,0,1,3,4,21,5.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
לעיתים קרובות מדובר רק בעיכוב קל הנובע מכך שלכל ילד יש קצב התפתחותי משלו.,9.67,18,0,1,13,14,59,4.214,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,10,0,0,4,4,0,0,2,0,0,0,4,2,0,2,0,0
זוהי תופעה שכיחה הנובעת מהצטברות חומר צהוב המכונה בילירובין.,6.42,14,0,1,8,9,51,5.667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,4,2,0,4,0,2,0,0,0,0,0,4,2,0,0,0,0
"הנפיחות באשכים אינה קשורה להורמונים, אלא נובעת מהצטברות נוזלים בשק האשכים.",9.47,19,0,1,10,11,62,5.636,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,8,8,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0
"הפנייה לבדיקות נוספות אם לדעת הוועדה עליך לעבור בדיקות רפואיות נוספות, או להביא מסמכים רפואיים נוספים, היא לא תקבע לך עדיין אחוז נכות רפואית, אלא תמתין לחומר הנוסף.",16.25,32,0,1,27,28,133,4.75,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,6,6,6,0,0,6,4,0,4,6,0,0,0,0,4,0,0,0
מהם הגורמים לסוכרת נעורים?,2.83,6,1,0,3,4,22,5.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0
תלמידים בעלי לקויות מורכבות בתפקוד חריג במיוחד שמנהל המחוז במעמד ועדת חריגים שתוקם במחוז למטרה זו מצא לנכון לדון בעניינים בוועדת ההשמה.,16.76,33,0,1,21,22,113,5.136,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,4,14,10,2,0,0,8,0,4,0,0,0,4,2,0,0,0,0
"הועדה קובעת את המסגרת החינוכית בה ישובצו התלמידים לאחר שקיבלו זכאות לחינוך מיוחד במעמד ועדת השמה, וכן דנה בהעברת תלמידים בין מסגרות החינוך המיוחד.",16.88,35,0,1,23,24,121,5.042,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,4,6,14,2,2,0,8,0,2,0,2,0,2,0,6,0,0,0
הכתמים האלה מתבהרים במשך הזמן ונעלמים בתוך כמה חודשים עד שנה.,7.71,14,1,0,10,11,50,4.545,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,2,4,2,0,0,0,0,0,0,2,2,6,2,0,0
שווה שהשותפים לטיול יידעו שיש לך אסתמה - וגם כיצד ניתן לעזור לך בשעת הצורך.,11.0,22,0,1,14,14,59,4.214,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,0,4,6,2,0,0,2,0,2,2,0,2,4,0,4,0,0,2
מהן הסיבות להופעת הסוכרת?,4.17,7,1,0,3,4,21,5.25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,4,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
