Original Name,Gender,Description,Location
DUNA,male,"lord , master , headman , sire",African
DWANH,male,to run,African
EBELE,male,mourning,African
EKENE,male,salute,African
Ekene-dilichukwu,male,salutation belongs to the great God,African
EKUNDAYO,male,my sorrow has turned to joy,African
EKWUEME,male,a promise kept,African
EMEKA,male,successful,African
EMMANUEL,male,God with us,African
ENITAN,male,one of story,African
ENU,male,second-born child,African
ENYINNAYA,male,father 's friend,African
FARAI,male,rejoice,African
FEMI,male,God loves me,African
FFUMBE,male,"cook ; or , slave ( ? )",African
FISKAL,male,butcher-bird,African
FOLAMI,male,honor me,African
FUDU,male,tortoise,African
FULATHELA,male,he will go far,African
FUMBE,male,"cook ; or , some wild grey animal",African
FUMNANYA,male,he who inspires love,African
FUNGAI,male,thinker,African
GACHERU,male,spy,African
GATURA,male,"one who excels , or surpasses",African
GAZINI,male,blood,African
GEBHUZA,male,"butcher ; or , slasher",African
GERO,male,builder ; or fierce,African
GICONI,male,a kind of bird,African
GITHINJI,male,butcher,African
Godlumthakathi,male,holds back the wizard,African
GWALA,male,coward,African
GWANDOYA,male,met with burden,African
GWEMBESHE,male,"has crooked arms ; or , bandy-legged",African
HLATSHWAYO,male,has a scarred jaw ( ? ),African
HLELILE,male,reversed,African
HLENGIWE,male,savior,African
IDOWU,male,increase ; born after twins,African
INNOCENT,male,harmless,African
IMAMU,male,spiritual guide ; from a mosque,African
ISINGOMA,male,witch doctor ; necromancer,African
ISOBA,male,"walks slowly , stealthily",African
ISOKE,male,hairy,African
ISOOBA,male,"walks slowly , stealthily",African
JAY,male,"JAY NOUGH , sight to be seen devil .",African
JENGO,male,materials for building,African
JOYCELIN,male,"just , right",African
JUMAANE,male,born on a Tuesday,African
KAFFIR,male,a black southern person,African
KAGISO,male,peaceful,African
KAMAU,male,quiet warrior,African
KATLEGO,male,he with the boiling stare,African
KATO,male,second-born twin,African
KAYODE,male,he brings joy,African
KERNEELS,male,"kingly , or , powerful",African
KGOSI,male,chief,African
KHAMISI,male,born on Thursday,African
KIBWE,male,a very small pebble,African
KIRABO,male,"offering ; or , someone else",African
KOBE,male,tortoise,African
KOBINA,male,born on Tuesday,African
KOFI,male,born on Friday,African
KOJO,male,born on Monday,African
KWABENA,male,born on Tuesday,African
KWADWO,male,born on Monday,African
KWAKU,male,born on Wednesday,African
KWAME,male,born on Saturday,African
KWASI,male,born on Sunday,African
KWEKU,male,born on Wednesday,African
KWESI,male,born on Sunday,African
LUNGILE,male,"good , right , straight",African
LUSALA,male,feather,African
MALA,male,bitter,African
MANYARA,male,"lucky ; or , rich with plunder",African
MASEGO,male,blessings,African
MASIKA,male,born during a monsoon,African
MATATA,male,troublemaker,African
MCHUMBA,male,sweetheart,African
MELISIZWE,male,leader of the nation,African
MER-MES,male,an obscure prince of Ethiopia,African
MOSI,male,first born,African
MWANAJUMA,male,child of Friday,African
MWENYE,male,"a lord , a possessor",African
NAFARI,male,first-born son,African
NAWVLEE,male,big devil,African
NEO,male,a gift,African
NGOZI,male,accident ; leather ; snore ( ? ),African
NKECHI,male,"of God ; or , of the spirit",African
NKEMDILIM,male,belongs to me,African
NKOSANA,male,a petty chief,African
NKRUMA,male,ninth born child,African
NNAMDI,male,my father lives,African
NOAH,male,rest,African
NSIA,male,sixth born child,African
NSONOWA,male,seventh born child,African
NTHANDA,male,star,African
NUBIA,male,gold,African
OBI,male,heart,African
OCHIENG,male,born when the sun shines,African
ODHIAMBO,male,born in the evening,African
OGECHI,male,time-spirit,African
OJIAMBO,male,born in the afternoon,African
OLABISI,male,salvation increases,African
OLAMIDE,male,salvation has arrived,African
OLANREWAJU,male,the face of salvation,African
OLATUNDE,male,salvation has returned,African
OLUCHI,male,work of God,African
OLUFEMI,male,God loves me,African
OLUJIMI,male,I am given by God,African
OLUKAYODE,male,God brings joy to me,African
OLUMIDE,male,God has brought me,African
OLUWASEGUN,male,God is victor,African
OLUWASEUN,male,"God , we give thanks",African
OLUWASEYI,male,God made this,African
OLUWATOYIN,male,the Christ deserves praise,African
OLWENYO,male,born in war-time,African
ONI,male,crocodile ( ? ),African
ONYEKA,male,who is greatest ?,African
ONYEKACHUKWU,male,who is greater than the great God ?,African
OPEYEMI,male,I praise and give thanks,African
OSUMARE,male,rainbow,African
OTIENO,male,born in the evening ( or night ),African
OWITI,male,the child that has been thrown away,African
OYOO,male,born on the road,African
PAKI,male,witness,African
PER-UI,male,an obscure Ethiopian king,African
PUNNU,male,a prince royal of Ethiopia,African
QINISELA,male,"obstinate , persistent",African
QUANDA,male,an egg,African
RAMLA,male,predictor of the future,African
REFILOE,male,we are given,African
REUBEN,male,"behold , a son !",African
RUDO,male,love,African
RUFARO,male,happiness,African
RUTENDO,male,faith,African
SAM,male,heard of God,African
SAMANYA,male,"common , ordinary",African
SAMUEL,male,heard of God,African
SANGO,male,he Yoruba god of thunder & lightning,African
SHANIKA,male,"young Nika ; or , young one from the wilderness",African
SIBONAKALISO,male,"an indication , a sign",African
SIMBA,male,lion,African
SIPHO,male,a gift,African
SITHEMBILE,male,we have much hope,African
SIZWE,male,"country , nation",African
TAFADZWA,male,we are pleased,African
TAFARI,male,first-born,African
TAMIKA,male,a twin,African
TAONGA,male,we are grateful,African
TAPIWA,male,"plunderer , ravager ( ? )",African
TATENDA,male,we give thanks,African
TAU,male,lion,African
TEMITOPE,male,thanksgiving to God,African
TENDAI,male,thankful,African
THABO,male,joy,African
THEMBA,male,great in size ; very stout,African
TICHAONA,male,we shall see,African
TINASHE,male,the Lord is with us,African
TSE,male,second-born of twin brothers,African
UDO,male,peace,African
UNATHI,male,the Lord is with us,African
UZOMA,male,good manners,African
WASSWA,male,first born of twins,African
WEKESA,male,born during harvest ( ? ),African
YÀW,male,born on Thursday,African
ZOLA,male,to love,African
ZUBERI,male,strong,African
ZURI,male,handsome,African
ABEBI,female,one who wards off,African
ABENA,female,born on Tuesday,African
ABENI,female,suppliant,African
ABIDEMI,female,born while Father is away,African
ACHIENG,female,born when the sun shines,African
ADAEZE,female,princess,African
ADANNA,female,father 's daughter,African
ADEDE,female,famous,African
ADHIAMBO,female,born in the evening,African
ADISA,female,"I am grave , or , I speak gravely",African
ADJOA,female,Monday-born,African
ADONGO,female,second-born of twins,African
ADWOA,female,Monday-born,African
AFFRICA,female,from the land of the Afarik,African
AFIA,female,born on Friday,African
AFRICA,female,from the land of the Afarik,African
AFUÁ,female,born on Friday,African
AKELLO,female,born after twins ( ? ),African
AKINYI,female,born in the morning ( ? ),African
AKOKO,female,"fowl , hen",African
AKOSUA,female,born on Sunday ( afternoon or evening ),African
AKUA,female,born on Wednesday,African
AKWASIBAH,female,born on Sunday,African
ALABA,female,one person ; an individual,African
ALALA,female,a dreamer,African
AMAKA,female,"noble ; or , she well knows",African
AMARA,female,urgent business,African
ANAN,female,fourth born child,African
APIO,female,he first-born of twins,African
APIYO,female,he first-born of twins,African
APUNDA,female,one who is beside herself,African
ARJANA,female,paradise,African
ASHANTI,female,of the Ashanti people,African
ATIENO,female,born in the evening ( or night ),African
AWITI,female,the child that has been thrown away,African
AWOTWI,female,born eighth,African
AYO,female,"joy ; valued ; or , born on the road",African
AYODELE,female,joy of the house,African
AYOO,female,born on the road,African
AYOTUNDE,female,joy has returned,African
AYSI,female,born on Sunday ( morning ),African
BAAKO,female,first born,African
BABIRYE,female,irst-born of twin girls,African
BAHATI,female,"good fortune , luck",African
BAMIDELE,female,bring me home,African
BAPOTO,female,"disturbance , noise",African
BELAKANE,female,concubine ( ? ),African
BLESSING,female,blessing,African
BOHLALE,female,wisdom,African
BOIPELO,female,proud,African
BOITUMELO,female,joy,African
BOLADE,female,honor arrives,African
BOLAH,female,cow 's tail,African
BOLANILE,female,the honor of this house,African
CANDACE,female,the mistress of Chendi,African
CANDIS,female,the mistress of Chendi,African
CHANDAKI,female,the mistress of Chendi,African
CHIAMAKA,female,"God is noble ; or , the spirit knows",African
CHIBUZO,female,God leads,African
CHIDIEBERE,female,God is gentle,African
CHIDIMMA,female,God is good,African
CHIEMEKA,female,God has done very well,African
CHIKA,female,God is the greatest,African
CHINAZA,female,God answers ( my prayer ),African
CHINEDU,female,God is my leader,African
CHINWE,female,God owns me,African
CHINWENDU,female,God owns life,African
CHIOMA,female,God is good,African
CHIPO,female,gift,African
CHIZOBA,female,may God save,African
COMFORT,female,comfort,African
DAMBUDZO,female,adversity,African
DAYO,female,joy arrives,African
DEDE,female,"a jigger ; or , a grasshopper",African
DIKELEDI,female,tears,African
DUBAKU,female,eleventh born child,African
EBELE,female,mourning,African
EFUA,female,born on Friday,African
EKUA,female,born on Wednesday,African
EKUNDAYO,female,my sorrow has turned to joy,African
ENIOLA,female,she who is wealthy,African
ENITAN,female,one of story,African
ENU,female,second-born child,African
EPHIGENIA,female,aughter of Iphis,African
ESHE,female,immortal,African
ESI,female,born on Sunday,African
FARAI,female,rejoice,African
FEMI,female,God loves me,African
FOLAMI,female,honor me,African
FUMBE,female,slave,African
FUMNANYA,female,she who inspires love,African
FUNANYA,female,she who inspires love,African
FURAHA,female,joy,African
GBEMISOLA,female,carry me into honor,African
GUGU,female,a precious person,African
HADIYA,female,"gift , sacrifice",African
HADIYYA,female,"gift , sacrifice",African
HENDAQUÉ,female,the mistress of Chendi,African
HLENGIWE,female,savior,African
IDOWU,female,increase ; born after twins,African
IFE,female,love,African
IFUNANYA,female,love inspires love,African
JAYDE,female,jade,African
JOYCELIN,female,"just , right",African
KAGISO,female,peaceful,African
KALISHA,female,sorceress,African
KAMADÍA,female,moon,African
KAMARIA,female,moon,African
KATLEGO,female,she with the boiling stare,African
KIRABO,female,"offering ; or , someone else",African
KUNTO,female,"morose , ill-humored",African
LEENA,female,softness,African
LESEDI,female,light,African
LINDIWE,female,I watch ( or guard ),African
LUNGILE,female,"good , right , straight",African
MAKEDA,female,queen of Sheba,African
MAKENA,female,the happy one,African
MALA,female,bitter,African
MALAIKA,female,angel,African
MANYARA,female,"lucky ; or , rich with plunder",African
MARJÁNI,female,red coral,African
MASIKA,female,born during a monsoon,African
MASOZI,female,tears,African
MCHUMBA,female,sweetheart,African
MIREMBE,female,peace,African
MOJISOLA,female,I awaken wealth,African
MONIFA,female,I am luck,African
MUDIWA,female,beloved,African
MWANAJUMA,female,child of Friday,African
NAKATO,female,second born of female twins,African
NDIDI,female,patience,African
NGOZI,female,accident ; skin ; snore ( ? ),African
NIA,female,"intention , life purpose , mind",African
NKECHI,female,"of God ; or , of the spirit",African
NKEMDILIM,female,belongs to me,African
NKIRUKA,female,one who is small,African
NKOSAZANA,female,princess,African
NKRUMA,female,ninth born child,African
NOMUSA,female,merciful,African
NOSIZWE,female,mother of the nation,African
NSIA,female,sixth born child,African
NSONOWA,female,seventh born child,African
NTHANDA,female,star,African
NTOMBI,female,girl,African
NUBIA,female,gold,African
NYAH,female,"intention , life purpose , mind",African
OGECHI,female,time-spirit,African
OLABISI,female,salvation increases,African
OLAYINKA,female,she brings salvation,African
OLUCHI,female,work of God,African
OLUFEMI,female,God loves me,African
OLUFUNMILAYO,female,"God , give me joy",African
OLUFUNMILOLA,female,"God , give me salvation",African
Oluwafunmilayo,female,God will give me joy,African
OLUWASEYI,female,God made this,African
OLUWATOYIN,female,the Christ deserves praise,African
ONYEKA,female,who is greatest ?,African
ONYEKACHUKWU,female,who is greater than the great God ?,African
OPEYEMI,female,I praise and give thanks,African
OSUMARE,female,rainbow,African
PATIENCE,female,endurance ; submission,African
PAULINE,female,little,African
PENINA,female,"red coral ; or , a pearl",African
QELHATAT,female,a queen of Nubia,African
QHIKIZA,female,full-grown girl,African
RACHEAL,female,a ewe,African
RAMLA,female,predictor of the future,African
REFILWE,female,we are given,African
REHEMA,female,merciful,African
RUDO,female,love,African
RUFARO,female,happiness,African
RUMBIDZAI,female,praise,African
RUTENDO,female,faith,African
SAALINGE,female,nothing but a peep,African
SALINA,female,has mercy ; merciful ( ? ),African
SAMANYA,female,"common , ordinay",African
SETHUNYA,female,"a blossom , flower",African
SHANI,female,wonder,African
SHANIKA,female,"young Nika ; or , young one from the wilderness",African
SHEENA,female,Jehovah 's gift ( or grace ),African
SHUKURA,female,be comforted,African
SIMISOLA,female,rest in wealth,African
SITHEMBILE,female,we have much hope,African
SSANYU,female,the happy one,African
SUBIRA,female,patience,African
SUZANNA,female,a graceful white lily,African
SYLVIA,female,living in a wood,African
TAFADZWA,female,we are pleased,African
TAFARI,female,first-born daughter,African
TAMEKA,female,a twin,African
TAMELA,female,she who basks in the sun,African
TAMIKA,female,a twin,African
TAONGA,female,we are grateful,African
TAPIWA,female,"plunderer , ravager ( ? )",African
TATENDA,female,we give thanks,African
TEMITOPE,female,thanksgiving to God,African
TENDAI,female,thankful,African
THANDIWE,female,I give love,African
THEMBA,female,great in size ; very stout,African
TINASHE,female,the Lord is with us,African
TITILAYO,female,ever joyful,African
TOTIT,female,a female monkey,African
TSHOLOFELO,female,hope,African
UDO,female,peace,African
UNATHI,female,the Lord is with us,African
UZOCHI,female,the way of God,African
UZOMA,female,good manners,African
WORKNESH,female,she is gold,African
YAA,female,born on Thursday,African
YAWÁ,female,born on Thursday,African
YEJIDE,female,image of her mother,African
YEWANDE,female,mother has returned,African
ZOLA,female,to love,African
ZURI,female,beautiful,African
ACU,male,moon-god,Akkadian
ADINI,male,devoted to Ni ( Neith ),Akkadian
ADIUR,male,devoted to Ur,Akkadian
ADRAHASIS,male,"shut up in a box or ark ; or , Sage , great intelligence ( ? )",Akkadian
AGU,male,moon-god,Akkadian
AKU,male,moon-god,Akkadian
ALLAMU,male,Nergal ; the omniscient,Akkadian
AMARAGU,male,effulgence of Agu,Akkadian
AMARUD,male,the circle of the day,Akkadian
BALASI,male,an early Chaldean astronomer,Akkadian
BALASU,male,the father of Nabu-salim,Akkadian
BELIBNI,male,a Chaldean officer,Akkadian
BELLABARISRUK,male,a chief of the Magi,Akkadian
BEL-SAMU,male,an early Chaldean king,Akkadian
BEL-SUM-ISCUN,male,an early Chaldean astronomer,Akkadian
BIT-NUR,male,the general of Adar,Akkadian
BUBA,male,the father of Bubu,Akkadian
BUBU,male,the son of Buba,Akkadian
BULLUDHU,male,an early Chaldean astronomer,Akkadian
CIT,male,the sun-god of the Cassites,Akkadian
DILGAN,male,the Star of Babylon,Akkadian
DIPTI,male,an early Amardian or Cassite deity,Akkadian
ENZUNA,male,the Lord of growth,Akkadian
ERIACU,male,"servant of Acu , the Moon-god",Akkadian
GIGIM,male,Ekim ; a class of evil spirits,Akkadian
GUDEA,male,an early Chaldean king,Akkadian
GUSUR,male,a name of the deity Marduk,Akkadian
IDADU,male,an early Chaldean king of Ridu,Akkadian
IDU,male,the measuring lord,Akkadian
ILGI,male,son of Urhammu,Akkadian
IM,male,god of the atmosphere,Akkadian
INNIN,male,an evil demon,Akkadian
ISTAR-SU-MES-SES,male,an early Chaldean astronomer,Akkadian
IZDUBAR,male,the Powerful King,Akkadian
KASSU-NADIN-AHU,male,an early Chaldean monarch,Akkadian
KASTUBILI,male,a chief of the country of Kazalla,Akkadian
LIDAN-GULA,male,offspring of Gula,Akkadian
LIDUNNAMU,male,a Chaldean officer,Akkadian
MASKIM,male,Layer of Ambushes,Akkadian
MERODAK-MU-BASA,male,an early Chaldean astronomer,Akkadian
Misa-nana-kal-ammi,male,an early Chaldean priest-king,Akkadian
MULAGUNNUNA,male,an early Chaldean king,Akkadian
MULGE,male,"Bel , Lord of the Underworld",Akkadian
Mu-sal-lim-maruduk,male,the son of Ukani,Akkadian
NABO-BAL-ATIR-RIB,male,the father of Nabonahid,Akkadian
NABONAHID,male,Nebo is Majestic,Akkadian
NABONIDUS,male,Nabonahid,Akkadian
NABUA,male,an early Chaldean astronomer,Akkadian
NABU-BEL-SHUM,male,Nebo-bel-zikri,Akkadian
NABU-EKHI-ERBA,male,an early Chaldean astronomer,Akkadian
NABU-IKBI,male,an early Chaldean astronomer,Akkadian
NABU-KUDUR-YUT-SUR,male,an early Chaldean astronomer,Akkadian
NABU-KULLANI,male,an early Chaldean astronomer,Akkadian
NABU-MU-SET-SI,male,an early Chaldean astronomer,Akkadian
NABU-SALIM,male,the son of Balasu,Akkadian
NABU-U-SABSI,male,a Chaldean chief,Akkadian
NABU-ZAR-ADAN,male,the general of the Chaldean army of Nabukuduruzur,Akkadian
NAMTAR,male,he Plague Demon,Akkadian
NERGAL-EDIR,male,an early Chaldean astronomer,Akkadian
Nergal-sar-ussur,male,Nergal protects the king,Akkadian
NERIGLISSAR,male,Nergal-sar-ussur,Akkadian
NIDINTABEL,male,an imposter Nabu-kudur-uzur,Akkadian
NIN-DAR,male,Adar,Akkadian
NIN-RIDU,male,an early Chaldean deity,Akkadian
OD,male,Shamas,Akkadian
ORCHAMUS,male,an early Chaldean king,Akkadian
OTOUG,male,a class of wicked spirits,Akkadian
PAKU,male,Nebo,Akkadian
SAR,male,"King , or Lord",Akkadian
SERAKH,male,Nirba,Akkadian
SHAGARAKTIYASH,male,an early Chaldean king,Akkadian
SHAMAS,male,the Sun,Akkadian
SHAMASH-BEL,male,servant of Bel,Akkadian
SHARYUKIN,male,a mystical king of Agani,Akkadian
SILIK-MU-LU-DUG,male,a name of Marduk,Akkadian
SILIK-MU-LU-KHI,male,Marduk or Amarud,Akkadian
SISIT,male,Adrahasis,Akkadian
SISUTHRUS,male,the Founder,Akkadian
SUMAI,male,an early Chaldee astronomer,Akkadian
TELAL,male,warrior,Akkadian
TIR-UTUR,male,an early Amardian or Cassite deity,Akkadian
TURTAK,male,the god of the river Tigris,Akkadian
UBARATUTU,male,worshipper of ( the god ) Tutu,Akkadian
UKANI,male,the father of Mu-sal-lim-maruduk,Akkadian
UL-KHUM-KHUM,male,the Sultry,Akkadian
URHAMMU,male,Light of the Sun,Akkadian
URHAMSI,male,the boatman and friend of Izdubar,Akkadian
UTULTAR,male,the Light of the Heavenly Spark,Akkadian
ZABU,male,an early Chaldean monarch ruling at Sippara,Akkadian
ZAIDU,male,the Hunter,Akkadian
ZICU,male,the Heaven,Akkadian
BAHU,female,lady of death ; Gula,Akkadian
NIN-AKHA-GUDDU,female,an obscure goddess,Akkadian
NIN-GELAL,female,Belit,Akkadian
NIN-MARKI,female,a Chaldean goddess,Akkadian
NIN-MUK,female,the wife of the god Turtak,Akkadian
TIAMAT,female,the sea,Akkadian
TISKHU,female,Ishtar ; the Mistress of Armies,Akkadian
AGIM,male,aurora,Albanian
AGON,male,dawn,Albanian
ALEKSANDËR,male,defender of men,Albanian
ANDREA,male,"man , warrior",Albanian
ARBEN,male,Caucasus-Albanian,Albanian
ARBER,male,Italo-Albanian,Albanian
ARDIAN,male,of the tribe Ardiaei,Albanian
ARDIT,male,golden day,Albanian
ARIAN,male,a Persian,Albanian
ARMEND,male,gold mind,Albanian
BARDHYL,male,white star,Albanian
BASHKIM,male,alliance,Albanian
BEHAR,male,summer,Albanian
BEKIM,male,blessing,Albanian
BESART,male,golden oath,Albanian
BESIAN,male,oath,Albanian
BESIM,male,faith,Albanian
BESJAN,male,oath,Albanian
BESMIR,male,heartburning oath,Albanian
BESNIK,male,faithful,Albanian
BLERIM,male,verdure,Albanian
BUJAR,male,generous,Albanian
BURIM,male,"fountain , spring ; source , origin",Albanian
DALMAT,male,from Dalmatia ( ? ),Albanian
DARDAN,male,a Trojan,Albanian
DAVUD,male,beloved,Albanian
DEFRIM,male,entertainment,Albanian
DHIMITËR,male,of Demeter,Albanian
DRITAN,male,light,Albanian
DRITON,male,light,Albanian
EDI,male,rich guard,Albanian
EDON,male,of the Edoni ; Thracian,Albanian
EDUARD,male,rich guard,Albanian
EDUART,male,rich guard,Albanian
ENDRIT,male,home ruler,Albanian
ENGJELL,male,angel,Albanian
ENVER,male,bright,Albanian
ERION,male,wind ( ? ),Albanian
ERJON,male,wind ( ? ),Albanian
ERMIR,male,good ( ? ),Albanian
ERVIN,male,warrior friend,Albanian
FATJON,male,our fortune,Albanian
FATLUM,male,fortunate,Albanian
FATMIR,male,good luck ; fortune,Albanian
FATON,male,our fortune,Albanian
FISNIK,male,noble,Albanian
FITIM,male,one who gains,Albanian
FITORE,male,victory,Albanian
FLAMUR,male,"banner , ensign , flag",Albanian
FREDERIK,male,peace ruler,Albanian
GAZMEND,male,joy,Albanian
GENTI,male,"gentian plant ; also , Gentile",Albanian
GËZIM,male,joy,Albanian
GJERGJ,male,"George ; farmer , husbandman",Albanian
GJON,male,John ; Jehovah 's gift ( or grace ),Albanian
ILIR,male,"star ; or , from Illyria",Albanian
ISIDOR,male,strong gift,Albanian
JAK,male,"blood ; or , supplanter",Albanian
JAKOV,male,supplanter,Albanian
JETMIR,male,good life,Albanian
JETON,male,life,Albanian
JORGJI,male,"George ; farmer , husbandman",Albanian
JOZEF,male,addition,Albanian
KASTARITE,male,a king of Carucassi,Albanian
KONSTANDIN,male,steadfast,Albanian
KONSTANDINI,male,constant,Albanian
KOSTANDIN,male,steadfast,Albanian
KRESHNIK,male,man from Krajina,Albanian
KUSHTIM,male,"consecration , dedication",Albanian
KUSHTRIM,male,battle cry,Albanian
LEKA,male,defender of men,Albanian
LEOTRIM,male,people 's valor,Albanian
LEUTRIM,male,people 's valor,Albanian
LIRIDON,male,free-willed,Albanian
LORENC,male,bay or laurel tree,Albanian
LUAN,male,lion,Albanian
LULEZIM,male,"blooming , prosperity",Albanian
MERGIM,male,exile,Albanian
MIRLIND,male,well-born,Albanian
NDERIM,male,"honor , respect",Albanian
PËLLUMB,male,pigeon,Albanian
PERPARIM,male,progress,Albanian
PJETËR,male,Peter ; rock,Albanian
PREK,male,touch,Albanian
QENDRIM,male,stay,Albanian
REZART,male,golden ray,Albanian
RILIND,male,"regenerate , revive , rise",Albanian
RINOR,male,"adolescent , youth",Albanian
SHKODRAN,male,from Shkoder ( Scutari ),Albanian
SHPEND,male,poultry ( ? ),Albanian
SHPETIM,male,salvation,Albanian
SHTJEFEN,male,crown,Albanian
TAULANT,male,of the Taulantii,Albanian
TIHOMIR,male,silent peace,Albanian
VALDRIN,male,wave ( ? ),Albanian
VALMIR,male,good wave,Albanian
VASILIS,male,kingly,Albanian
VETON,male,lightning,Albanian
VJOSA,male,east,Albanian
XHEMAIL,male,perfection ( ? ),Albanian
YLLI,male,star,Albanian
ZAMIR,male,good voice,Albanian
ZEF,male,addition,Albanian
AFERDITA,female,dawn,Albanian
ARDIANA,female,of the tribe Ardiaei,Albanian
ARDITA,female,golden day,Albanian
ARIANA,female,Persian,Albanian
BESA,female,oath,Albanian
BESIANA,female,oath,Albanian
BESJANA,female,oath,Albanian
BLERINA,female,green,Albanian
BLERTA,female,green,Albanian
BORA,female,snow,Albanian
BUKUROSHE,female,babe,Albanian
BURBUQE,female,bud,Albanian
DARDANA,female,a Trojan,Albanian
DASHURIE,female,love,Albanian
DENISA,female,of Dionysos,Albanian
DRITA,female,light,Albanian
EDONA,female,"of the Edoni , a people of Thrace",Albanian
ELIRA,female,"star ; or , from Illyria",Albanian
FATIME,female,weaned,Albanian
FATJETA,female,luck-life,Albanian
FATJONA,female,our fortune,Albanian
FATLIND,female,lucky birth,Albanian
FATMIRE,female,good fortune,Albanian
FETIJE,female,victory,Albanian
FLUTURA,female,butterfly,Albanian
GENTA,female,"gentian plant ; also , Gentile",Albanian
GENTIANA,female,"gentian plant ; also , Gentile",Albanian
IRMA,female,public,Albanian
JEHONA,female,echo,Albanian
JULIANA,female,downy,Albanian
KALTRINA,female,blue,Albanian
LENA,female,light,Albanian
LEONORA,female,light,Albanian
LINDITA,female,day-born,Albanian
LIRIDONA,female,free-willed,Albanian
LJENA,female,light,Albanian
LULE,female,flower,Albanian
LULJETA,female,flower of life,Albanian
MAJLINDA,female,May-birth,Albanian
MANJOLA,female,magnolia,Albanian
MARJETA,female,pearl,Albanian
MIMOZA,female,mimosa,Albanian
MIRELA,female,admirable,Albanian
MIRJETA,female,good life,Albanian
MIRLINDA,female,well-born,Albanian
PRANVERA,female,spring,Albanian
REZARTA,female,golden ray,Albanian
RITA,female,pearl,Albanian
ROSAFA,female,"flame , lightning",Albanian
ROVENA,female,white skirt,Albanian
ROZAFA,female,"flame , lightning",Albanian
SHPRESA,female,hope,Albanian
SHQIPE,female,song,Albanian
TEFTA,female,active principle ; soul of the world ; essence of all things,Albanian
TEREZA,female,harvester,Albanian
VALBONA,female,good valley,Albanian
