NumOf_Words,NumOf_Let,Word_Avg_Size,NumOf_Stopwords,NumOf_Number_Char,NumOf_#,NumOf_@,NumOf_Other_Sym,NumOf_Caps_Words
13,44,3.385,2,1,4,0,28,0
14,84,6.0,2,0,2,0,6,0
13,87,6.692,2,0,3,1,8,0
9,47,5.222,3,0,4,0,7,0
6,23,3.833,2,0,0,0,3,0
25,98,3.92,13,0,0,1,6,0
10,37,3.7,6,0,1,1,6,0
14,56,4.0,4,0,1,0,4,0
16,37,2.312,5,0,0,0,29,0
17,90,5.294,4,0,0,0,5,0
14,64,4.571,1,0,4,0,25,0
11,49,4.455,4,0,4,1,14,0
9,52,5.778,3,0,2,0,5,0
19,90,4.737,6,0,2,0,11,0
24,93,3.875,9,0,0,1,19,0
5,20,4.0,1,0,1,0,2,0
10,54,5.4,2,0,3,0,6,0
9,48,5.333,1,1,1,5,6,0
14,61,4.357,3,0,3,2,12,0
17,82,4.824,7,0,0,2,5,0
15,91,6.067,7,0,3,0,4,0
9,43,4.778,2,0,2,2,16,0
14,90,6.429,1,0,5,3,11,0
11,58,5.273,4,0,2,0,4,0
28,104,3.714,10,0,0,0,6,0
13,60,4.615,5,0,4,0,8,0
7,24,3.429,3,1,0,0,3,0
13,50,3.846,7,0,0,0,0,0
19,106,5.579,6,0,4,0,6,0
20,70,3.5,12,1,1,0,8,0
8,34,4.25,3,0,0,2,2,0
15,73,4.867,5,0,3,2,11,0
5,26,5.2,1,2,1,0,1,0
19,89,4.684,9,0,2,1,5,0
22,102,4.636,7,0,2,0,10,0
18,77,4.278,6,0,1,1,15,0
26,83,3.192,10,0,0,1,9,0
19,42,2.211,5,0,1,0,36,0
7,36,5.143,1,0,0,0,0,0
8,49,6.125,2,0,3,1,9,0
11,42,3.818,2,3,4,0,9,0
8,32,4.0,5,0,0,0,1,0
25,100,4.0,13,1,0,0,5,0
12,62,5.167,2,4,2,4,21,0
17,65,3.824,1,6,5,0,12,0
4,17,4.25,1,0,0,0,3,0
8,41,5.125,3,0,2,0,3,0
23,106,4.609,12,0,2,0,3,0
22,59,2.682,3,0,1,1,43,0
13,61,4.692,6,0,4,1,5,0
6,44,7.333,0,0,2,1,3,0
9,60,6.667,0,0,7,0,14,0
20,98,4.9,8,0,4,1,14,0
13,55,4.231,4,0,0,0,3,0
10,52,5.2,1,0,7,1,9,0
14,60,4.286,4,0,1,6,8,0
12,62,5.167,3,0,5,0,9,0
9,57,6.333,2,3,2,0,6,0
19,42,2.211,5,0,1,0,36,0
15,54,3.6,2,0,8,0,24,0
9,48,5.333,2,0,6,0,7,0
14,52,3.714,4,4,0,0,1,0
18,86,4.778,2,0,1,0,3,0
12,51,4.25,4,2,0,2,4,0
11,51,4.636,2,0,2,0,10,0
15,42,2.8,2,0,3,0,37,0
6,34,5.667,0,0,3,1,4,0
11,65,5.909,1,0,7,0,15,0
17,80,4.706,4,1,3,0,6,0
15,64,4.267,7,0,2,0,10,0
19,85,4.474,4,0,1,1,5,0
14,70,5.0,1,0,6,0,14,0
18,81,4.5,7,0,3,0,10,0
22,62,2.818,12,0,3,0,9,0
8,56,7.0,0,12,5,1,9,0
15,93,6.2,3,4,7,0,8,0
20,95,4.75,9,0,3,0,5,0
18,46,2.556,0,2,4,0,57,0
23,79,3.435,11,1,2,1,14,0
26,74,2.846,2,0,2,0,69,0
20,85,4.25,10,2,1,1,4,0
10,58,5.8,1,0,4,1,5,0
10,64,6.4,0,0,6,1,11,0
15,53,3.533,2,8,5,0,11,0
21,89,4.238,8,2,3,1,14,0
12,47,3.917,4,0,0,0,9,0
10,74,7.4,1,0,5,0,12,0
7,27,3.857,4,0,0,0,1,0
24,83,3.458,12,1,0,3,10,0
26,88,3.385,6,7,0,2,12,0
24,104,4.333,11,0,1,0,8,0
13,61,4.692,3,1,4,0,6,0
20,88,4.4,9,0,1,0,5,0
17,72,4.235,8,1,1,0,1,0
13,62,4.769,5,0,2,0,4,0
14,55,3.929,7,0,0,3,10,0
19,87,4.579,5,0,2,0,11,0
19,86,4.526,9,0,2,0,6,0
14,80,5.714,4,0,5,0,7,0
13,61,4.692,4,2,3,0,6,0
18,100,5.556,6,0,2,0,3,0
7,26,3.714,0,0,3,0,10,0
9,45,5.0,1,0,1,3,4,0
19,42,2.211,5,0,1,0,36,0
8,28,3.5,3,0,1,0,4,0
10,33,3.3,2,0,0,0,1,0
22,70,3.182,10,1,2,1,16,0
12,67,5.583,0,2,5,1,8,0
15,78,5.2,4,0,1,3,5,0
22,82,3.727,11,0,1,0,4,0
9,35,3.889,2,1,2,0,4,0
21,72,3.429,14,0,0,0,3,0
20,108,5.4,8,0,0,1,5,0
7,34,4.857,3,0,1,2,4,0
6,27,4.5,2,0,0,2,4,0
15,92,6.133,3,0,12,0,12,0
17,103,6.059,5,0,5,0,7,0
13,83,6.385,0,0,4,0,9,0
14,64,4.571,6,0,0,1,5,0
14,46,3.286,6,0,1,0,3,0
17,85,5.0,4,0,0,4,9,0
14,73,5.214,6,0,2,0,4,0
19,97,5.105,8,0,4,0,8,0
9,49,5.444,2,0,4,0,8,0
12,68,5.667,4,0,6,0,10,0
16,65,4.062,0,2,5,0,37,0
16,85,5.312,3,0,2,2,7,0
11,61,5.545,1,3,2,0,7,0
20,66,3.3,5,0,6,1,10,0
25,110,4.4,12,0,0,0,4,0
7,34,4.857,3,0,2,0,3,0
15,64,4.267,3,0,5,0,19,0
9,71,7.889,0,0,8,0,11,0
10,45,4.5,4,0,4,0,7,0
14,67,4.786,4,0,7,0,14,0
19,85,4.474,7,5,1,0,3,0
17,82,4.824,7,0,0,0,3,0
20,82,4.1,12,0,1,0,3,0
18,86,4.778,2,0,1,0,3,0
8,38,4.75,2,0,1,2,4,0
16,76,4.75,8,0,1,0,6,0
9,68,7.556,0,0,8,0,12,0
11,47,4.273,6,0,0,0,2,0
9,31,3.444,6,0,0,1,3,0
6,34,5.667,2,0,3,0,5,0
7,41,5.857,3,0,2,0,3,0
10,43,4.3,3,0,0,3,3,0
6,28,4.667,1,4,1,1,3,0
10,63,6.3,0,0,8,0,14,0
12,67,5.583,1,4,5,1,14,0
25,90,3.6,13,0,0,0,6,0
18,74,4.111,9,0,2,1,13,0
19,78,4.105,11,0,3,0,7,0
7,54,7.714,1,0,4,0,7,0
6,21,3.5,3,0,0,1,2,0
20,43,2.15,0,0,3,0,59,0
9,54,6.0,2,0,0,1,1,0
26,96,3.692,18,0,0,1,5,0
9,51,5.667,2,0,5,0,5,0
19,42,2.211,5,0,1,0,36,0
25,95,3.8,6,2,1,2,10,0
15,54,3.6,4,0,5,2,14,0
22,100,4.545,6,3,9,0,11,0
7,33,4.714,4,0,2,0,3,0
20,75,3.75,5,11,3,1,16,0
13,44,3.385,5,0,0,2,4,0
20,92,4.6,7,0,0,0,5,0
19,78,4.105,6,0,9,0,10,0
13,30,2.308,2,0,0,0,27,0
10,42,4.2,1,6,2,0,2,0
14,47,3.357,7,0,1,0,8,0
6,35,5.833,2,0,3,0,5,0
26,96,3.692,15,0,0,0,5,0
33,98,2.97,19,0,0,0,6,0
14,69,4.929,6,0,3,0,14,0
20,73,3.65,10,0,1,0,1,0
13,69,5.308,1,0,7,0,11,0
14,51,3.643,4,0,2,4,16,0
15,76,5.067,4,0,2,2,6,0
6,32,5.333,1,0,0,0,0,0
19,73,3.842,11,0,1,0,6,0
7,44,6.286,2,0,2,0,3,0
12,64,5.333,3,0,4,0,12,0
7,71,10.143,0,0,4,0,5,0
8,46,5.75,1,3,2,1,6,0
19,79,4.158,7,0,2,1,3,0
11,61,5.545,2,0,3,0,10,0
23,74,3.217,6,0,0,3,35,0
3,16,5.333,0,0,0,0,5,0
7,21,3.0,4,0,0,0,5,0
8,47,5.875,1,0,1,0,6,0
15,82,5.467,2,0,1,1,9,0
10,50,5.0,3,0,2,0,5,0
8,41,5.125,0,1,1,3,8,0
14,65,4.643,0,0,8,0,10,0
20,84,4.2,13,0,1,0,3,0
15,54,3.6,3,0,3,0,28,0
12,68,5.667,3,0,2,0,8,0
25,102,4.08,12,0,0,2,9,0
7,24,3.429,2,0,3,0,6,0
11,69,6.273,1,0,2,0,12,0
13,64,4.923,2,0,6,0,12,0
17,78,4.588,1,1,2,0,20,0
11,53,4.818,5,0,2,0,11,0
17,77,4.529,6,0,1,1,7,0
15,85,5.667,5,0,5,0,8,0
9,34,3.778,4,0,0,0,4,0
13,44,3.385,4,2,1,1,3,0
19,42,2.211,5,0,1,0,36,0
17,70,4.118,3,0,4,1,18,0
14,81,5.786,4,0,4,0,5,0
5,24,4.8,3,0,1,0,2,0
18,74,4.111,11,0,0,0,3,0
9,45,5.0,1,0,3,3,6,0
14,50,3.571,8,0,2,0,6,0
22,77,3.5,4,4,1,1,33,0
9,40,4.444,4,0,0,0,1,0
10,52,5.2,2,0,2,1,7,0
13,62,4.769,5,1,3,0,6,0
20,89,4.45,7,0,0,0,8,0
16,70,4.375,4,2,1,1,14,0
13,69,5.308,3,0,2,0,3,0
12,33,2.75,2,0,0,1,15,0
6,32,5.333,1,0,2,0,3,0
18,84,4.667,8,0,3,0,5,0
9,70,7.778,2,0,4,1,6,0
18,103,5.722,6,1,2,1,4,0
12,38,3.167,3,1,1,0,15,0
9,71,7.889,2,0,6,0,6,0
22,88,4.0,10,1,0,0,1,0
16,71,4.438,8,0,1,0,3,0
20,78,3.9,12,0,0,0,3,0
12,58,4.833,4,0,1,2,4,0
9,45,5.0,4,0,0,2,2,0
24,87,3.625,7,0,0,0,3,0
18,81,4.5,3,0,2,0,5,0
15,72,4.8,1,0,13,0,18,0
16,76,4.75,9,0,1,1,4,0
6,34,5.667,2,0,3,0,5,0
20,90,4.5,6,0,1,2,9,0
12,70,5.833,4,0,4,0,4,0
23,101,4.391,8,0,0,2,7,0
16,75,4.688,6,0,4,2,7,0
6,22,3.667,3,0,0,0,3,0
7,39,5.571,3,0,2,0,3,0
5,12,2.4,1,0,0,0,7,0
13,85,6.538,1,0,8,1,10,0
28,92,3.286,15,0,1,1,14,0
18,34,1.889,2,0,0,0,55,0
20,83,4.15,8,1,1,0,3,0
10,48,4.8,6,0,1,0,2,0
13,35,2.692,9,0,0,0,6,0
5,29,5.8,1,2,1,1,3,0
11,36,3.273,4,2,1,0,5,0
9,36,4.0,2,5,1,0,1,0
15,64,4.267,4,1,0,0,4,0
20,84,4.2,8,0,0,3,12,0
30,99,3.3,12,1,1,0,13,0
10,59,5.9,2,0,2,0,5,0
8,34,4.25,5,0,2,0,4,0
23,96,4.174,7,1,2,1,4,0
9,22,2.444,1,0,0,0,14,0
13,79,6.077,3,0,4,1,10,0
8,32,4.0,3,0,2,0,6,0
26,83,3.192,12,0,0,0,6,0
11,88,8.0,1,0,8,0,11,0
14,68,4.857,5,0,3,1,9,0
14,85,6.071,2,0,6,0,16,0
14,61,4.357,4,0,1,0,7,0
14,60,4.286,1,0,0,5,10,0
23,101,4.391,7,0,0,0,6,0
17,78,4.588,6,0,2,0,5,0
19,42,2.211,5,0,1,0,36,0
19,82,4.316,8,0,3,1,11,0
8,74,9.25,0,1,6,1,7,0
19,83,4.368,9,0,1,0,4,0
26,106,4.077,8,0,2,2,14,0
12,30,2.5,7,0,0,0,12,0
10,33,3.3,2,0,0,0,1,0
14,69,4.929,5,0,4,1,7,0
14,80,5.714,1,0,12,0,12,0
5,27,5.4,1,2,1,0,4,0
11,71,6.455,1,0,3,4,12,0
21,65,3.095,4,0,6,0,37,0
17,77,4.529,7,4,4,1,8,0
3,20,6.667,0,0,1,0,2,0
19,63,3.316,8,8,3,0,7,0
15,68,4.533,4,0,7,1,10,0
12,47,3.917,2,6,5,0,10,0
9,68,7.556,0,5,7,2,12,0
12,52,4.333,6,0,0,0,1,0
14,56,4.0,5,0,1,1,7,0
8,42,5.25,3,0,2,0,3,0
19,72,3.789,9,0,0,0,2,0
15,71,4.733,4,1,3,1,7,0
10,45,4.5,4,0,4,0,7,0
8,38,4.75,1,0,0,2,5,0
3,19,6.333,1,0,1,0,1,0
17,90,5.294,5,0,3,1,8,0
14,70,5.0,8,0,0,0,3,0
30,100,3.333,12,2,0,0,7,0
11,43,3.909,1,0,8,0,8,0
9,64,7.111,2,0,6,0,9,0
14,62,4.429,1,3,4,0,5,0
9,31,3.444,6,0,0,1,2,0
11,53,4.818,5,0,5,0,8,0
8,29,3.625,3,0,0,0,0,0
8,46,5.75,1,0,3,1,4,0
8,43,5.375,2,0,1,0,5,0
22,84,3.818,12,0,2,0,6,0
8,28,3.5,3,0,0,0,1,0
18,63,3.5,2,7,1,1,10,0
21,86,4.095,4,19,0,0,10,0
14,69,4.929,4,0,3,0,15,0
14,74,5.286,4,0,0,0,6,0
21,102,4.857,7,0,1,1,4,0
5,36,7.2,0,0,3,0,6,0
16,61,3.812,9,0,4,0,8,0
10,68,6.8,1,0,6,1,8,0
27,93,3.444,11,0,0,1,14,0
12,59,4.917,1,0,7,0,15,0
9,29,3.222,3,0,0,0,3,0
17,89,5.235,1,0,16,1,17,0
17,85,5.0,2,0,1,0,3,0
4,14,3.5,0,4,0,0,1,0
12,63,5.25,3,0,4,0,9,0
9,34,3.778,3,0,0,0,0,0
13,45,3.462,8,0,0,1,3,0
14,66,4.714,4,0,2,1,5,0
26,83,3.192,7,0,1,2,10,0
4,12,3.0,1,0,1,0,2,0
13,68,5.231,2,1,7,0,10,0
8,45,5.625,2,0,6,0,7,0
18,77,4.278,2,4,5,0,11,0
8,35,4.375,2,0,1,0,3,0
12,68,5.667,2,0,9,1,10,0
11,48,4.364,1,4,0,1,5,0
16,84,5.25,7,0,2,1,5,0
14,60,4.286,6,0,2,0,19,0
16,69,4.312,4,0,0,2,6,0
3,14,4.667,0,0,2,0,3,0
14,42,3.0,2,0,1,1,16,0
6,36,6.0,0,0,2,1,6,0
12,55,4.583,5,0,0,1,7,0
10,34,3.4,4,0,0,0,2,0
17,67,3.941,5,0,4,0,12,0
19,93,4.895,8,0,1,1,8,0
16,51,3.188,9,0,0,0,2,0
5,22,4.4,0,5,1,2,3,0
16,77,4.812,5,0,2,1,3,0
13,57,4.385,6,0,3,0,6,0
9,52,5.778,2,0,4,0,6,0
17,65,3.824,7,0,2,1,12,0
18,81,4.5,7,0,3,0,6,0
18,85,4.722,9,0,0,0,3,0
9,51,5.667,3,0,1,0,3,0
16,58,3.625,7,0,2,0,8,0
11,57,5.182,1,0,3,0,26,0
10,41,4.1,3,0,0,1,10,0
20,64,3.2,5,4,2,3,11,0
12,60,5.0,2,4,1,0,3,0
9,37,4.111,3,0,2,1,12,0
11,48,4.364,2,6,3,0,6,0
17,72,4.235,2,0,4,4,18,0
8,49,6.125,4,4,3,0,4,0
14,64,4.571,4,0,2,0,15,0
12,66,5.5,3,0,2,0,5,0
13,75,5.769,0,0,10,0,10,0
19,109,5.737,4,0,4,0,12,0
23,93,4.043,4,0,2,0,18,0
12,53,4.417,2,1,7,0,8,0
8,42,5.25,4,0,2,0,3,0
10,44,4.4,2,1,1,0,4,0
15,100,6.667,3,0,5,1,6,0
28,64,2.286,0,0,9,1,86,0
23,107,4.652,13,0,3,0,4,0
19,83,4.368,4,0,5,0,12,0
20,83,4.15,6,0,2,0,7,0
15,82,5.467,3,0,3,0,12,0
21,70,3.333,11,0,0,0,10,0
20,83,4.15,5,0,1,0,14,0
14,53,3.786,9,0,0,1,3,0
15,62,4.133,0,7,5,0,10,0
17,70,4.118,4,0,12,1,17,0
15,66,4.4,3,0,2,0,12,0
6,31,5.167,0,0,0,4,4,0
19,71,3.737,1,0,1,0,37,0
19,42,2.211,5,0,1,0,36,0
11,58,5.273,4,0,0,0,2,0
17,67,3.941,10,0,3,0,6,0
9,39,4.333,3,0,0,0,0,0
10,40,4.0,2,0,3,1,10,0
9,42,4.667,4,4,1,0,1,0
13,64,4.923,4,1,6,0,10,0
22,82,3.727,14,0,1,0,3,0
6,34,5.667,2,0,3,0,5,0
14,47,3.357,5,1,2,1,12,0
7,52,7.429,1,0,5,0,11,0
18,80,4.444,6,0,0,3,6,0
14,95,6.786,4,0,4,2,6,0
17,80,4.706,8,0,1,1,4,0
17,73,4.294,3,1,10,0,15,0
14,70,5.0,0,2,6,0,31,0
6,35,5.833,2,0,3,0,5,0
15,65,4.333,4,0,0,1,3,0
9,49,5.444,2,0,4,0,8,0
10,43,4.3,1,1,1,1,2,0
5,38,7.6,0,0,2,0,3,0
8,34,4.25,5,0,2,0,4,0
12,71,5.917,1,0,8,0,15,0
19,104,5.474,4,4,1,1,7,0
7,36,5.143,3,0,1,0,2,0
21,75,3.571,1,2,5,0,14,0
22,80,3.636,7,0,2,1,17,0
5,44,8.8,0,0,1,0,2,0
27,107,3.963,12,0,3,0,7,0
5,24,4.8,2,0,2,0,6,0
9,50,5.556,2,0,2,0,9,0
22,89,4.045,13,0,0,0,2,0
18,89,4.944,9,0,0,1,8,0
12,44,3.667,1,1,1,0,17,0
21,90,4.286,11,0,0,2,6,0
24,68,2.833,3,0,4,1,60,0
16,55,3.438,8,0,4,0,9,0
6,36,6.0,2,0,3,0,5,0
18,67,3.722,9,0,1,0,11,0
12,63,5.25,3,2,5,0,11,0
14,74,5.286,6,0,0,0,3,0
6,34,5.667,1,0,0,0,0,0
9,32,3.556,0,2,2,0,10,0
21,79,3.762,8,3,0,1,8,0
11,57,5.182,1,0,4,1,6,0
17,98,5.765,4,0,3,0,4,0
15,46,3.067,0,0,5,0,36,0
22,95,4.318,9,0,3,1,8,0
17,85,5.0,4,1,6,0,10,0
6,34,5.667,2,0,3,0,5,0
14,61,4.357,5,4,3,0,8,0
7,59,8.429,0,0,4,1,6,0
15,60,4.0,6,0,4,0,13,0
21,98,4.667,7,0,0,2,8,0
6,22,3.667,2,0,1,0,2,0
17,63,3.706,9,0,2,0,9,0
20,31,1.55,0,0,3,1,60,0
19,78,4.105,7,0,4,1,9,0
9,42,4.667,0,0,0,0,11,0
7,28,4.0,3,0,0,0,2,0
5,13,2.6,3,0,0,1,1,0
11,72,6.545,1,0,7,0,14,0
23,99,4.304,7,1,0,1,6,0
16,54,3.375,8,0,1,1,7,0
10,51,5.1,1,0,5,1,7,0
19,81,4.263,8,0,3,0,3,0
12,67,5.583,5,0,2,0,2,0
19,81,4.263,3,2,3,0,16,0
24,108,4.5,7,0,1,0,3,0
17,71,4.176,8,0,1,1,13,0
20,66,3.3,10,0,2,1,7,0
8,42,5.25,0,1,3,2,7,0
6,25,4.167,0,0,0,0,0,0
13,58,4.462,2,0,7,0,7,0
10,56,5.6,1,0,7,0,7,0
16,56,3.5,7,0,0,2,8,0
11,37,3.364,3,0,4,0,16,0
8,58,7.25,1,0,4,0,7,0
4,20,5.0,1,0,0,0,1,0
24,102,4.25,10,0,0,0,4,0
19,94,4.947,8,0,0,0,3,0
12,64,5.333,3,0,2,1,8,0
16,86,5.375,7,0,3,0,3,0
3,20,6.667,0,0,1,0,6,0
19,86,4.526,7,0,0,0,2,0
19,91,4.789,7,2,6,1,9,0
9,64,7.111,2,0,6,0,9,0
16,86,5.375,8,0,6,0,8,0
3,12,4.0,0,3,0,1,2,0
26,88,3.385,10,0,0,1,9,0
14,59,4.214,3,1,0,1,5,0
3,29,9.667,0,0,0,0,0,0
18,93,5.167,3,1,4,1,10,0
12,54,4.5,5,0,0,1,3,0
14,41,2.929,2,0,1,3,18,0
7,46,6.571,1,0,2,1,9,0
17,52,3.059,10,0,0,0,5,0
13,56,4.308,4,1,1,0,5,0
12,43,3.583,8,0,1,1,3,0
24,103,4.292,9,0,4,0,10,0
11,63,5.727,1,0,6,0,9,0
5,21,4.2,2,0,0,0,3,0
22,95,4.318,11,0,0,1,8,0
11,60,5.455,2,0,7,0,10,0
7,34,4.857,2,0,0,0,0,0
10,41,4.1,2,0,2,0,8,0
23,99,4.304,7,2,1,0,11,0
4,30,7.5,0,0,1,0,1,0
28,103,3.679,10,2,3,0,6,0
5,13,2.6,1,0,0,0,8,0
10,70,7.0,3,2,2,1,8,0
11,55,5.0,2,0,4,2,6,0
11,52,4.727,5,0,1,1,5,0
9,35,3.889,0,0,3,0,8,0
9,27,3.0,3,0,1,0,5,0
13,55,4.231,2,0,3,0,12,0
9,32,3.556,4,4,1,0,6,0
14,49,3.5,7,0,1,1,4,0
6,41,6.833,2,0,1,0,2,0
23,104,4.522,3,1,3,1,20,0
20,86,4.3,4,2,0,3,5,0
5,16,3.2,1,1,0,1,1,0
26,102,3.923,11,1,0,0,8,0
9,81,9.0,2,0,4,2,6,0
17,72,4.235,9,0,1,3,5,0
17,62,3.647,8,0,0,0,3,0
9,73,8.111,1,4,6,0,10,0
14,65,4.643,4,0,0,3,5,0
16,66,4.125,8,0,0,2,3,0
18,70,3.889,2,0,6,1,26,0
13,60,4.615,5,0,4,0,8,0
11,62,5.636,3,0,4,0,10,0
10,33,3.3,2,0,0,0,1,0
19,96,5.053,7,0,6,1,13,0
8,45,5.625,1,4,4,0,12,0
8,46,5.75,0,0,5,0,9,0
14,78,5.571,4,0,2,1,4,0
12,67,5.583,2,4,1,0,8,0
19,63,3.316,11,3,0,1,2,0
14,78,5.571,7,0,2,1,6,0
17,71,4.176,1,0,6,1,20,0
17,87,5.118,6,1,1,1,5,0
9,30,3.333,4,0,1,0,3,0
7,33,4.714,2,0,1,1,2,0
8,71,8.875,2,0,3,0,7,0
10,58,5.8,2,0,2,1,6,0
20,72,3.6,7,0,1,0,5,0
16,68,4.25,1,5,5,0,11,0
16,89,5.562,6,4,4,0,8,0
11,54,4.909,1,0,6,1,9,0
9,48,5.333,2,0,0,2,4,0
26,94,3.615,13,5,0,2,3,0
15,68,4.533,3,4,4,1,12,0
23,74,3.217,8,2,0,1,5,0
6,25,4.167,3,0,1,0,2,0
13,48,3.692,3,0,7,1,13,0
17,82,4.824,6,0,3,0,9,0
7,70,10.0,0,0,4,0,8,0
24,88,3.667,8,0,2,3,11,0
18,77,4.278,8,0,0,0,5,0
12,61,5.083,4,1,1,0,2,0
12,46,3.833,7,0,0,0,6,0
11,64,5.818,0,1,10,0,17,0
3,26,8.667,0,0,0,0,0,0
16,84,5.25,4,0,10,1,11,0
16,84,5.25,4,0,4,0,5,0
22,87,3.955,8,4,0,0,8,0
10,33,3.3,2,0,0,0,1,0
8,44,5.5,3,0,2,0,3,0
3,30,10.0,0,0,1,0,1,0
18,71,3.944,8,0,0,2,3,0
11,56,5.091,2,0,1,3,5,0
12,60,5.0,3,0,1,1,5,0
6,35,5.833,1,0,3,1,4,0
25,103,4.12,8,0,1,2,15,0
10,45,4.5,4,0,4,0,7,0
15,89,5.933,5,0,2,0,4,0
16,63,3.938,5,0,0,1,11,0
27,92,3.407,14,0,0,0,6,0
9,23,2.556,5,0,0,0,11,0
17,87,5.118,3,3,4,0,5,0
14,61,4.357,4,6,3,0,6,0
12,69,5.75,2,0,3,1,9,0
16,75,4.688,0,0,5,0,10,0
18,74,4.111,5,4,0,3,5,0
12,46,3.833,4,0,0,1,2,0
14,58,4.143,0,0,5,0,21,0
16,67,4.188,4,0,0,0,3,0
11,63,5.727,0,0,3,0,5,0
6,27,4.5,1,0,0,0,0,0
16,69,4.312,4,0,1,1,6,0
11,48,4.364,2,1,1,0,5,0
21,81,3.857,14,0,1,0,3,0
11,71,6.455,3,0,6,0,10,0
12,62,5.167,1,0,4,0,10,0
15,67,4.467,3,3,4,2,6,0
25,94,3.76,9,3,1,1,7,0
19,79,4.158,6,0,0,0,4,0
9,46,5.111,3,0,2,0,6,0
8,53,6.625,3,0,2,0,6,0
12,63,5.25,2,1,1,0,1,0
8,39,4.875,4,0,2,0,3,0
8,39,4.875,3,0,2,0,3,0
16,72,4.5,6,2,4,0,12,0
6,27,4.5,1,0,0,4,5,0
9,51,5.667,0,2,5,1,14,0
9,48,5.333,2,4,4,2,8,0
15,90,6.0,4,0,2,0,3,0
12,46,3.833,1,4,5,0,11,0
22,106,4.818,10,0,2,0,6,0
6,39,6.5,2,0,3,0,5,0
9,74,8.222,1,0,6,0,7,0
4,18,4.5,1,0,1,0,7,0
18,91,5.056,10,0,1,0,3,0
18,85,4.722,6,0,2,0,5,0
8,43,5.375,2,0,0,1,2,0
14,84,6.0,2,0,2,0,6,0
21,85,4.048,8,0,1,1,4,0
15,34,2.267,3,0,0,1,39,0
19,84,4.421,10,0,1,0,4,0
8,23,2.875,3,0,0,0,0,0
23,101,4.391,11,0,5,0,7,0
7,38,5.429,3,0,2,0,3,0
10,37,3.7,4,0,0,1,3,0
10,58,5.8,4,0,3,0,4,0
7,26,3.714,2,2,0,0,0,0
7,39,5.571,3,0,2,0,3,0
15,78,5.2,1,3,11,0,11,0
25,96,3.84,10,0,0,1,3,0
12,48,4.0,1,0,2,1,25,0
8,50,6.25,0,5,4,0,6,0
23,105,4.565,8,0,0,1,5,0
19,69,3.632,8,0,1,0,6,0
16,86,5.375,4,0,3,2,12,0
9,46,5.111,2,0,1,0,2,0
8,41,5.125,3,0,3,0,3,0
10,68,6.8,0,0,8,0,11,0
16,59,3.688,8,0,0,0,3,0
13,52,4.0,4,1,0,0,5,0
12,50,4.167,0,0,7,0,21,0
6,34,5.667,0,0,3,0,5,0
6,32,5.333,2,0,3,0,5,0
26,103,3.962,14,0,0,0,3,0
10,59,5.9,1,0,4,1,9,0
26,92,3.538,12,0,0,1,1,0
