sentence,no_change,summarizing
מהם הגורמים לסוכרת נעורים?,1,0
תלמידים בעלי לקויות מורכבות בתפקוד חריג במיוחד שמנהל המחוז במעמד ועדת חריגים שתוקם במחוז למטרה זו מצא לנכון לדון בעניינים בוועדת ההשמה.,0,1
"הועדה קובעת את המסגרת החינוכית בה ישובצו התלמידים לאחר שקיבלו זכאות לחינוך מיוחד במעמד ועדת השמה, וכן דנה בהעברת תלמידים בין מסגרות החינוך המיוחד.",0,1
הכתמים האלה מתבהרים במשך הזמן ונעלמים בתוך כמה חודשים עד שנה.,1,0
שווה שהשותפים לטיול יידעו שיש לך אסתמה - וגם כיצד ניתן לעזור לך בשעת הצורך.,0,1
מהן הסיבות להופעת הסוכרת?,1,0
הפנייה לוועדה המקצועית צריכה לכלול מכתב מהרופא המטפל וכן שאלונים מפורטים שאותם התבקשתם למלא.,0,1
מהי מטרת הטיפולים בהתפתחות הילד?,1,0
"כיום, כשהטיפול באינסולין הוא מתקדם מאוד, יכולים החולים ליהנות מתוחלת חיים ממושכת.",0,1
כמו כן תסביר האחות על תכנית החיסונים המומלצת על־ידי משרד הבריאות.,0,1
"הזכאות תקפה לשלוש שנים, בסוף התקופה יש לחדש את ועדת ההשמה.",0,1
"שימו לב, בעקבות משבר הקורונה, יש להירשם באתר שירות התעסוקה מבלי להתייצב פיזית.",0,1
צריך להדק את החיתול לגוף?,1,0
"אם ההחלטה תהיה חיובית, יעביר משרד המרפאה את המסמכים הבאים לוועדת המומחים להתפתחות הילד: חוות הדעת של הרופא, סיכום הממצאים שלו, השאלונים.",0,1
 ועדת השילוב המוסדית מתקיימת בחינוך הרגיל בבית הספר ודנה בזכאותו של תלמיד בעל צרכים מיוחדים להיכלל בתכנית השילוב (פרק ד1 לחוק החינוך המיוחד).,0,1
"מסמכים (רפואיים/עו""ס) התומכים בבקשה.",0,1
"זוהי תופעה שכיחה שחולפת בתוך זמן קצר, ואין צורך להתרגש ממנה.",0,1
"אם לא צברת חודשי עבודה כנדרש, ישנם חודשים נוספים שאינם חודשי עבודה שיכולים להיכלל בתקופת האכשרה - למידע נוסף לחץ כאן.",0,1
כמה זמן נמשכת המחלה?,1,0
"ועדת השמה השמת תלמידים במסגרות החינוך המיוחד נקבעת, בהתאם לחוק, על ידי ועדת השמה, על בסיס חוות דעת חינוכית והערכות מקצועיות.",0,1
הטיפול בסוכרת מותאם אישית לכל חולה.,0,1
"גני ילדים, מעון או בית ילדים והחצר - בטווח של 10 מטרים מהיציאה או הכניסה לגן.",0,1
"נגבו את הקפלים בעדינות בעזרת צמר גפן טבול במים או במים עם מעט שמן אמבט לתינוק, ולאחר מכן ייבשו עם מגבת.",0,1
הזרקת האינסולין נעשית על ידי החולה עצמו באחת הגפיים ובבטן באמצעות מזרק חד־פעמי או באמצעות עט אינסולין רב־שימושי.,0,1
"והכל בתנאי שהרשות המאשרת, המתמנה על ידי שר הביטחון, אישרה שהפגיעה היא פגיעת איבה.",0,1
הועדה תתכנס החל מ 15/08 ותדון בבקשות השונות.,0,1
איך מגישים תביעה?,1,0
"במהלך הטיפול מתרגלים מיומנויות בתחומים כמו שפה, דיבור, חשיבה, תנועה, משחק וקשר.",0,1
יש לפנות למחלקת היסעים על מנת להסדיר את הנושא.,0,1
"תלמידי החינוך המיוחד זכאים להסעה, בהתאם לקריטריונים המופיעים בחוזר מנכל הסעות תלמידים.",0,1
"חולי אסתמה רבים מכירים את ""האופי"" של מחלתם, יודעים ממה להימנע, מה הם הסימנים המוקדמים של התקף – ושווה שלא ינסו לבצע פעילויות העלולות להיות מסוכנות בשבילם, או, לחילופין, יגיבו נכון בשלב מוקדם של הופעת התסמינים.",0,1
"הועדה מורכבת ממנהלת המחלקה לחינוך מיוחד, נציג הפיקוח על החינוך המיוחד ונציג מהשירות הפסיכולוגי החינוכי.",1,0
"בקשה בליווי הסבר ונימוקים, על הפונים לצרף את המסמכים הבאים:בקשה בליווי הסבר ונימוקים.",0,1
"על פי ההנחיות של משרד הבריאות, זמן ההמתנה ממסירת השאלונים ועד לרגע שבו מתחילים את תוכנית הטיפול אסור שיעלה על 3 חודשים (חודשיים בעבור פגים).",0,1
"התמיכה תינתן על-ידי צוות החינוך המיוחד המתמחה בטיפול בתלמידים בעלי לקויות שונות, בהלימה לצורכי התלמיד ובהתחשב במשאבים הזמינים באותה מסגרת חינוכית (שעות ההוראה, כוח-האדם והתנאים הפיזיים).",0,1
איך מאבחנים סוכרת נעורים?,1,0
מה ההבדל בין הסוגים השונים של הסוכרת?,1,0
בוועדת השמה מתקיימים דיונים אחראים ומכבדים הדוגלים בשיתוף התלמיד וההורים ומאפשרים להם להשמיע את עמדתם ולהציג את תפיסתם לגבי המענה ההולם את צרכי התלמיד.,0,1
כל שינוי בחום הגוף: עליית חום מעל 38 מעלות או חום הנמוך מ־36 מעלות.,0,1
בדרך כלל שכבה אחת מספיקה.,1,0
ניתן לבטל את השירות בכל עת ולקבל את החיוב התקופתי באמצעות הדואר.,0,1
חשוב להגיע לטיפת חלב מוקדם ככל הניתן למעקב משקל.,0,1
"אם האמא מרגישה בכאב או שהיא לא בטוחה שהתינוק יונק מספיק, חשוב להתייעץ.",0,1
הבעיה העיקרית היא הירידה החדה ברמת הסוכר בדם בעקבות מנה גבוהה מדי של אינסולין (יחסית לכמות המזון).,0,1
"חוץ מזה, אמבטיה היא זמן נעים להיכרות ולחיזוק הקשר.",0,1
"במקרים מסוימים, כאשר רמת הבילירובין גבוהה, צריך לטפל בזה באמצעות פוטותרפיה - חשיפת עור התינוק לאור מנורה.",0,1
"באביב ובסתיו: עליכם להיות ערים לשינויים החלים במזג האוויר, בין היום  ללילה ובין יום אחד למשנהו, ולהלביש את התינוק בהתאם למזג האוויר המשתנה.",0,1
"הכליות מפנות את עודפי הסוכר מהדם, ואילו התאים נותרים ללא חומר הגלם החיוני לתפקודם התקין.",0,1
"פגיעה מנשק שהיה מיועד לפעולות איבה של כוחות אויב, או פגיעה מנשק שהיה מיועד נגד פעולה כזאת.",0,1
סוכרת נגרמת מירידה בכמות האינסולין שמיוצר בגוף או עקב ירידה ביכולת הגוף להשתמש באינסולין.,0,1
עד כמה היא שכיחה?,0,1
"הרבו לדבר איתו, לשחק עימו וללטף אותו בעדינות בעת הטיפול בו.",0,1
נוסעים מבוגרים רבים סבורים שחיסוני הילדות שקיבלו עדיין מגנים עליהם.,0,1
"נוסעים עם סוכרת תרופות וציוד: מטיילים חולי סוכרת צריכים להעריך את כמות האינסולין, המזרקים/העטים, הפדים, האלכוהול ואמצעי הניטור שבה הם משתמשים – ולקחת עימם לטיול כמות מספקת, במידה שלא יודעים אם ניתן לרכוש תרופות וציוד ממקורות מהימנים (למשל, אם מתכננים טרקים, טיולי שטח, טיפוס הרים או אפילו טיול רכב באזורים כפריים המרוחקים ממרכזי הערים הגדולות).",0,1
שטפי דם בעיניים נובעים בדרך כלל מלחץ בלידה.,0,1
"ניתן - וכדאי - להצטייד בצמיד לנשיאה על היד, המכיל בתוכו מידע רלוונטי על המחלה.",0,1
האם סוכרת נעורים היא מחלה מסוכנת?,1,0
"כל מקום במוסד חינוך לרבות חדר המוסד, מגורי תלמידים בטווח 10 מטר מהכניסה או מהיציאה.",0,1
"על המכתב לכלול בצורה ברורה רשימה של כל הפעולות הרפואיות שבוצעו בעבר - צנתור, ניתוח מעקפים, החלפת מפרקים וכיוצא באלה).",0,1
"בטיול ממושך, הסכנה העיקרית לחולי אסתמה היא יציאה מאיזון והופעת התקפים.",0,1
בימים קרים הוסיפו כובע.,0,1
גם בחורף צריך לעשות כל יום אמבטיה?,1,0
"אם קשה לך לפרט את הקשיים הרפואיים, או שאתה זקוק למתרגם, אתה רשאי להביא אתך לוועדה מלווה מתאים.",0,1
"התופעה חולפת מעצמה, ואין צורך לטפל בה.",0,1
"ועדת ערר, המתקיימת במשרד החינוך בבאר שבע, רשאית לקבל את הערר, לדחות אותו או להחזיר את העניין לוועדת השמה לדיון נוסף.",0,1
בימים הראשונים שלאחר הלידה הצואה נראית שחורה וצמיגה - וגם זה נורמלי.,0,1
"חשוב לדעת: רק ביטוח נסיעות בכללית חו""ל מאפשר כיסוי לבעיות בריאות ולמחלות קיימות וכרוניות, אם נהנית מתקופת בריאות יציבה בחצי השנה שלפני הטיול בחו""ל.",0,1
מה לעשות?,1,0
"לאחר ההרשמה, יש לעקוב אחר הנחיות שירות התעסוקה בנוגע להתייצבות פיזית במרכזי שירות התעסוקה.",0,1
כיצד ניתן לשלם?,0,1
איך בוחרים מיטת תינוק?,1,0
"יש חשיבות לניקוי של המפשעות בזמן  החלפת חיתול, לניגוב קפלים ולניקוי הפנים לפחות פעם ביום.",0,1
ניתן לפנות לאחות טיפת חלב או למוקד 2700* כדי לקבל מידע על יועצת הנקה באזור.,0,1
"התשלום מתבצע באופן מהיר, בזמן הנוח לכם, ללא המתנה מיותרת בתור וחשבונך במאגר הנתונים הממוחשב של הרשויות מזוכה באופן אוטומטי.",0,1
"כעבור יומיים־שלושה, בעקבות ההנקה, מקבלת הצואה גוון צהבהב, ולעיתים קרובות היא רכה.",0,1
"ועדת השילוב מתקיימת במתי""א באר שבע, לפרטים נוספים בטלפון 08-647466",1,0
הפריחה אינה מלוּוה בסימנים נוספים והיא חולפת ללא טיפול.,0,1
"אולם קריאה וחדר קריאה בספריה הפתוחה לציבור, חוץ מן המקומות שהוקצו בידי הנהלת המקום שבהם יהיה העישון מותר, אם הוקצו, ובלבד שיש בהם סידורי אוורור תקינים והעישון בהם אינו גורם למטרד בחלקים אחרים של המקום.",0,1
הכיסויים צריכים להיות קלים אך מחממים.,0,1
"המזרן חייב להיות קשה, שטוח ומצופה בבד אטום לנוזלים כדי למנוע חלחול נוזלים לספוג.",0,1
שים לב!,1,0
"אחרי אלה ניתן למנות פציעות בתאונות שונות (ולכן, למשל, חשוב שיהיה ביטוח טוב) - ורק לבסוף מגיע תורן של המחלות הזיהומיות, המאפיינות את ארצות היעד.",0,1
אתה זכאי לקבל את תוצאות הבדיקות במקום עריכתן עוד בטרם התקבלה החלטה בעניינך.,0,1
"בית המשפט הגדיר את אחריות בעל העסק במובן רחב יותר, ומצפה מבעל העסק בנוסף למפורט לעיל, גם לסרב לתת שירות לאדם המעשן בניגוד לחוק ואף לדרוש ממנו לעזוב את המקום, אם לא יחדל מביצוע העבירה.",0,1
"מה חשוב לקחת לחו""ל?",1,0
החלטת מנהל מחוז היא סופית ואינה נתונה לערר (לא ניתן להשתתף בדיונים לגבי הבקשה).,0,1
"אם המעשן מסרב להפסיק לעשן ו/או לעזוב את המקום, פנה למוקד הפיקוח העירוני והזמן פקח רשום תיעוד של האירוע, כולל תאריך, מקום ושעה, פרט את הצעדים שננקטו על מנת לטפל בוואת תוצאות האירוע.",0,1
אחד התינוקות במחלקה חלה בצהבת פיזיולוגית.,0,1
"אתה בעל אזרחות ישראלית, וטרם חלפה שנה מהמועד שבו חדלת להיות תושב ישראל, ונפגעת מחוץ לישראל.",0,1
"חרף העובדה הידועה, כי אנשים בכל הגילאים נוטים להעריך את גילם הסובייקטיבי כצעיר מזה הכרונולוגי (פער ההולך ומתעצם עם ההזדקנות), הרי שלמטיילים המבוגרים יותר מאפיינים בריאותיים מיוחדים, שאסור להתעלם מהם.",0,1
מקומות ציבוריים רשאים למנות סדרנים למניעת העישון.,0,1
תשובה הכוללת אישור או דחייה תועבר לפונה ולרשות במייל/בפקס.,0,1
טעות.,1,0
"המשמעות - רווח ניכר לתושב ולסביבה, הן בחיסכון בנייר, הן במהירות קבלת המידע וכן בנוחות וביעילות המעקב אחר החשבונות התקופתיים.",0,1
"אם ההתקף קשה, ניתן לטפל בו גם באמצעות הזרקה של הורמון הקרוי גלוקגון הגורם לעלייה חדה ברמת הסוכר בדם.",0,1
"עם זאת מומלץ, כמובן, שתמשיכו לעקוב בקפידה אחרי התפתחות הילד.",0,1
מומלץ שרופא ילדים יבדוק את התינוק כשבוע אחרי השחרור מבית החולים.,0,1
רצוי לחתל כך שהחיתול לא יהיה הדוק מדי לגוף.,0,1
ההחתלה נעשית בדרך כלל בצמוד לשעות ההאכלה מכיוון שהתינוק לרוב ער.,0,1
צוות הוועדה שמקבל את החומר יבדוק את הבקשה ויחליט על בסיס החומר הרפואי ועל סמך חוות הדעת המקצועיות שקיבל אם יש צורך באבחון ובטיפול.,0,1
איזון רמות הסוכר הוא הדרך הטובה ביותר למניעת הסיבוכים האלה.,0,1
בימי ד' לא מתקיימת קבלת קהל.,0,1
החזיקו את התינוק כך שתוכלו להתבונן בו.,0,1
במסגרת הטיפול ההתפתחותי מתייחסים לפוטנציאל של הילד אל מול הקושי שלו להשיג אותו ולממש אותו.,0,1
פריחה אצל תינוקות יכולה להיות ממוקדת או מפוזרת על כל הגוף.,0,1
יש להרחיק את התנור מכל חפץ שעלול להתלקח.,0,1
"חנות; מסעדה, מזנון, בית קפה, לרבות כל בית אוכל, בית משקה, מועדון, דיסקוטק או מקום אחר שבין עיסוקיו הגשת מזון או משקאות (כולם להלן - בית אוכל), למעט חדר נפרד לחלוטין, אם קיים ,שהוקצה לעישון בידי הנהלת בית האוכל, ובלבד שיש בו סידורי אוורור תקינים ובלבד שעומד בתנאים הקבועים בחוק.",0,1
הלבישו את התינוק בבגדי תינוקות התואמים את תנאי מזג האוויר ועל פי עונות השנה:   בקיץ: לבוש קל ומאוורר.,0,1
"תחנת רכבת, לרבות רציף, למעט אזור שהוקצה לעישון בקצה הרציף וחד נפרד לחלוטין שהוקצה לעישון בידי הנהלת המקום, אם הוקצה, ובלבד שיש בו סידורי אוורור תקינים והעישון בו אינו גורם למטרד בחלקים אחרים של המקום, וכן תחנה של רכבת מקומית.",0,1
תאריכי ועדות השמה ועדות השמה מתקיימת בין תאריכים פברואר עד מאי.,1,0
"חיסונים בגיל המבוגר:ראשית, יש לדאוג לעדכון כל חיסוני השגרה.",0,1
סורגי המיטה צריכים להיות צפופים: אסור שהרווח בין סורגי המיטה יעלה על 7 סנטימטר.,0,1
לכן ישנה ירידה בכמות האינסולין המופרשת - עד כדי היעדר מוחלט של אינסולין מייצור עצמי של הגוף.,0,1
למניעת הסיבוכים המאוחרים של מחלת הסוכרת חשוב מאוד לשמור על רמה תקינה של גלוקוזה בדם.,0,1
"בקרב חולים בסוכרת מבוגרים הבעיה לא נובעת ממחסור באינסולין אלא מכך שנוצרת תנגודת לפעילות של האינסולין, והוא אינו מצליח להכניס את הסוכר מהדם לתאים.",0,1
"אם לא מטפלים במחלת הסוכרת, היא עלולה לגרום לסיבוכים ארוכי טווח כמו: פגיעות בכלי דם (לדוגמה, טרשת עורקים מואצת שעלולה לגרום בעתיד לבעיות לב) פגיעה בעיניים באזור הרשתית שבשלב הסופי שלה עלולה לגרום לעיוורון .",0,1
"אלה - בשילוב עם הסיכונים הספציפיים בארצות היעד - מאפשרים ""לתפור"" בעבור כל מטיילת ומטייל את ההמלצות הספציפיות על החיסונים הנדרשים, התרופות שיש להביא מהארץ והדרך המיטבית להתנהל, מבחינה בריאותית, לפני הנסיעה, במהלך הנסיעה ואחרי הנסיעה.",0,1
מקרים מיוחדים אלו יעסקו בעניינים של תלמידים אלו:תלמידים המשתחררים מאשפוז ומצבם מצריך הפניה לוועדת השמה בהמלצת בית החולים.,0,1
הבילירובין נוצר בעת פירוק הכדוריות האדומות במסגרת התאמת מערכות הגוף לחיים שמחוץ לרחם.,0,1
הבדיקה הבסיסית ביותר היא של רמת הגלוקוזה בדם בצום.,0,1
"חשוב לדעת שאין אפשרות להעלות למטוס מיכלי חמצן אישיים, והסידורים השונים משתנים בין חברות התעופה השונות.",0,1
"סוכרת של מבוגרים (סוכרת מסוג 2) מופיעה בדרך כלל בגיל מאוחר הרבה יותר, לעיתים קרובות  אצל אנשים שסובלים מעודף משקל.",0,1
תנאי חמישי - תקופת אכשרה צברת תקופת אכשרה של לפחות 12 חודשי עבודה כשכיר מתוך 18 החודשים האחרונים לפני שנרשמת לראשונה בשירות התעסוקה.,0,1
"מטרתו לקדם את הילד, לשפר את יכולותיו ולהעניק לו ארגז כלים להמשך הדרך.",0,1
תרופות מרשם יש לקחת באריזות המקוריות ולא במיכלים אחרים.,0,1
"אם אתה מכיר את הרופא בוועדה באופן אישי או כרופא מטפל, רופא זה לא יכול להשתתף בוועדה שתבדוק אותך.",0,1
"כאשר קיים מחסור באינסולין, או שתאי הגוף אינם מצליחים לנצל את האינסולין, נוצר מצב שבו רמת הסוכר בדם גבוהה מדי, אך רמת הסוכר בתאים נמוכה.",0,1
גני שעשועים הפתוחים לציבור.,0,1
תלמידים אחרי תאונות או טראומות נפשיות או פזיות.,0,1
מה זה אינסולין?,1,0
תנאי רביעי - התייצבות בשירות התעסוקה כדי להיות זכאי לדמי אבטלה עליך להתייצב בשירות התעסוקה.,0,1
ועדות שיבוץ אחראיות לשיבוץ תלמידים במסגרות החינוך המיוחד.,0,1
