sentence,summarizing
כגזר שנראה חזק אך מאבד תכונותיו במצבי לחץ?,0
ליבה ונשמתה התקשו עד מאוד.,0
אשר תפקידו בחיים להפוך את המצב.,0
הקפה מגיע לתכונותיו הטובות ביותר.,0
המים בשיא הרתיחה.,0
לכל מה שקורה בחיים יש סיבה.,0
חי לו רב צדיק גדול.,0
רבים עלו אליו לרגל להיוועץ.,0
בעצותיו ולגלות את הנסתר.,0
באחד מן הימים קם תלמיד.,0
החליט לבחון היש יסוד בגדולתו.,0
יצאה גדולתו של הרב ברבים?,0
נכנס התלמיד אל חדרו של הרב.,0
שמעתי על נפלאות תובנותיך.,0
השפיל עיניו וענה לתלמיד.,0
התשובה בידייך ולא בידי.,0
אם תרצה סגור בחוזקה את ידיך.,0
אם תרצה פתח לרווחה כפות ידך.,0
אנו משכנעים את עצמנו.,0
אחרי שיהיו לנו ילדים.,0
הילדים אינם מספיק גדולים.,0
ושנהיה מאושרים יותר כשהם יגדלו.,0
אנו מתוסכלים כי מתבגרים וקשה איתם.,0
אנו בטוחים שנהיה מאושרים.,0
הם יעברו את השלב הזה.,0
אנחנו אומרים לעצמנו שחיינו יהיו טובים יותר.,0
כשתהיה לנו מכונית טובה יותר.,0
כשנוכל לנסוע לחופש.,0
האמת היא שאין זמן.,0
אם לא עכשיו אז מתי?,0
החיים תמיד מלאים באתגרים ובמכשולים.,0
עדיף לקבל זאת ולהחליט.,0
היו אמורים להתחיל עוד מעט.,0
אך תמיד היה מכשול אחד.,0
בעיה שיש להתמודד אתה.,0
"מייל לא פתור, חוב שצריך לשלם.",0
דמיינו לעצמכם בנק המזכה את חשבונכם.,0
דמיינו כי אין אפשרות לצבור כסף בחשבון.,0
יתרת הסכום שלא ניצלתם.,0
תוציאו כל אגורה כמובן.,0
לכל אחד מאתנו חשבון שכזה קוראים לו הזמן.,0
בכל לילה הן מתאפסות.,0
בכל יום עומד לרשותנו אותו סכום.,0
רק בו מותר להשתמש.,0
בכל לילה נעלמת שארית הסכום.,0
אם לא השכלנו להשתמש ביתרה היומיומית.,0
אין אפשרות לחזור אחורה.,0
אין גם אפשרות להשתמש בזמן על חשבון מחר.,0
אנחנו חייבים לנצל את ההווה.,0
"להפיק את המרב בבריאות, אושר והצלחה.",0
אדם בודד הלך לאורך שדרה אינסופית.,0
קראה אליו הדמות בקול קר.,0
הוא ניסה לזהות את הדמות.,0
החשיכה הפריעה לו להבחין במדויק בתווי פניה.,0
שאלה הדמות ברעד.,0
אולי אני לא בדיוק אתה.,0
אבל אני חלק ממך.,0
למה אתה מתכוון?,0
אני הצד האפל שאתה פוחד לחשוף.,0
פוחד שהם יגלו שהוא קיים בך.,0
כל היצרים שאתה מדחיק פנימה.,0
מה אתה רוצה ממני?,0
כדי שתתחיל להתמודד באמת איתי.,0
אני לא מבין על מה אתה מדבר.,0
וודאי שאתה לא מבין.,0
זו בדיוק הבעיה שלך.,0
מאז שנולדת חונכת להיות טוב.,0
הייתה משוגעת עליך.,0
המורים הודו עליך כל יום מחדש.,0
הם ידעו שכל מה שיבקשו ממך הם יקבלו.,0
אתה ויתרת כי ציפו ממך לוותר.,0
התנדבת כי ציפו ממך להתנדב.,0
גדלת מבלי לדעת מהי משמעות המילה לא.,0
היית הילד הכי טוב בבית.,0
"בכיתה, הכי טוב בשכונה.",0
אבל אתה יודע למה?,0
כי היית פחדן.,0
פחדת לאכזב את האחרים.,0
"פחדת לאבד את אהבתם, פחדת שינטשו אותך.",0
האמת היא שפשוט נולדת רכרוכי.,0
היית טוב כי לא היה לך האומץ להיות רע.,0
כולם אמרו שאתה ילד נשמה.,0
עד שהם גרמו לך להאמין בזה.,0
היית כל כך בטוח במידות הטובות שלך.,0
שכלל לא טרחת לעבוד עליהן.,0
היה ברור לך שאתה מושלם.,0
אבל אני הייתי בתוכך כל הזמן.,0
אמנם קברת אותי אך מעולם לא הרגת אותי.,0
היית מלאך מפלסטיק.,0
לדפוסי ההתנהגות שלך נתת שמות יפים כל כך.,0
מילה שמפלילה ומוציאה אותך זכאי בו זמנית.,0
"אינך צריך להתנצל, זה אנושי.",0
למה שאאמין לך?,0
תן לי סיבה טובה אחת!,0
הדמות התקרבה אליו.,0
אמרה והצביעה על פניה.,0
פנס הרחוב נדלק לפתע.,0
הוא הביט בדמות וקפא.,0
כיעור שהוא האחראי היחיד לו.,0
עוד קורבן הלם של האמת.,0
הוא המשיך ללכת לאורך השדרה האינסופית.,0
שהתמלאה אט אט בקרני אור קלושות בינות לעצים הכהים.,0
"הוא היה מתוסכל, מיואש ומהורהר.",0
לא מבין איזה טעם מצאה לה השמש לזרוח פתאום.,0
כשהביט שנית גילה כי לא הייתה זו השמש.,0
היו אלו קרניים שבקעו מדמות נוספת שקרבה אליו.,0
גם בה לא יכול היה להביט.,0
שאל בלחש ובחשש מסוים.,0
היו לו די הפתעות להיום.,0
אתה יכול לחזור למקום ממנו באת.,0
למה אני מרגיש שאתה אינך מאמין בי?,0
ודאי שאיני מאמין בך.,0
אין דבר כזה אצלי טוב באמת.,0
"אני אגואיסט, קנאי ואני בסך הכל מחפש למצוא חן בעיני הזולת.",0
צורי ביקר גם אותך?,0
"כן, ככה אני מכנה אותו.",0
"כינוי חיבה, לא קשה לנחש למה.",0
שנינו גרים באותו חדר.,0
תמיד אני צריך להיות זה שמתקן.,0
קשה לומר שאנחנו מסתדרים.,0
אבל אין ברירה אחרת.,0
נגזר גורלנו להיות יחד.,0
החבר שלי באמת ביקר אותך.,0
שכנע אותך שאתה הבן אדם הכי אנוכי בעולם.,0
תגיד לי ואתה חושב שאחרים לא כאלו?,0
הוא חייך חיוך אירוני.,0
אך העיניים הטובות שלו שלחו מבט מבין.,0
טעות קלאסית של המנסים לגלות את עצמם.,0
לראשונה ועצתי לך צא מזה.,0
"יש בך טוב, טוב אדיר ועוצמתי.",0
יש בך טוב אינסופי.,0
מעניק ללא הפסקה למשפחה שלך.,0
לחברים שלך ולכל הסובב אותך.,0
ומה עם כל המידות השליליות שבי?,0
הן לא באמת קיימות?,0
"ממש לא לצערך, תאר לעצמך שהן לא היו.",0
אז הייתי יכול להיות טוב באמת.,0
אמר בנימה חלומית מהורהרת.,0
מה עשית כדי להיות טוב?,0
למה שנעריך אותך על משהו שבא לך בלי מאמץ?,0
"תבין, אם לא היינו אגואיסטים לא היינו מקבלים שכר על חסד.",0
לא היה לנו על מה להתגבר.,0
על מנת להיעשות טובים יותר.,0
אנחנו כל הזמן נלחמים.,0
מזלזלים בו ומייחסים לו כל מיני מניעים נבזיים.,0
האדם הוא לא מפלצת פרנואידית.,0
אם מתערב בשיקול שלו שיקול זר.,0
ההתמודדות שלו הסתיימה בניצחונו של הצד הטוב.,0
שירשה לעצמו לקבל את הקרדיט.,0
עכשיו אני מבולבל באמת.,0
"אין טעם, אם תחשוב היטב על מה שאמרתי.",0
"טוב, אני הולך עכשיו.",0
"כשתהיה בספק אם אני קיים, אקפוץ לבקר.",0
תן לי לראות אותך קודם.,0
הוא התקרב אליו ועמעם מעט מאורו.,0
מעולם לא ידע שהם יכולים להיות יפים ומאירים כל כך.,0
וילדים עם ילקוטים שהולכים לבית הספר.,0
והוא ידע שהוא נמצא אי שם בין שניהם.,0
אבל לפחות עכשיו הוא יודע את הכיוון.,0
הייתה משפחה בת חמש נפשות.,0
נפשות שגרו בבית קטן ודל.,0
המשפחה הזאת לא הייתה מרוצה מהבית שיש להם.,0
הוא צפוף מידי ושלא נוח בו ושאין מקום.,0
האב הלך לרב העיר ושאל אותו מה לעשות.,0
"שמע נא לי, אנא ממך קח שלוש כבשים והכנס לביתך.",0
והרב המשיך בדרכו.,0
בעל הבית הכניס שלוש כבשים לביתו.,0
התלונות המשיכו להישמע מידי פעם.,0
"רבי, אין כבר מקום בביתנו.",0
האדון לא הבין את משמע אוזניו.,0
ושוב התלוננה אשתו וילדיו על צפיפות וחום שמציק.,0
בסוף השבוע הלך אל הרב ואמר לו.,0
"תשמע, תוציא את כל הכבשים מביתך ובוא אליי.",0
"בני, איך הרגשתך עכשיו?",0
כלל לא אדוני יש מקום ונוח יותר לילדי ולאשתי ולי.,0
עכשיו תבין שביתך הוא נס.,0
יש אחרים שגם אין מה להם ללבוש.,0
והם חיים תחת כיפת השמיים.,0
ושאין לך על מה להתלונן.,0
גש לביתך והודה על כך.,0
מעשה בשני אחים תאומים.,0
"האחד אופטימיסט, תמיד חיובי ומלא תקווה.",0
אי אפשר להסיר את החיוך הנסוך על פניו.,0
"השני פסימיסט, עצוב וחסר שמחת חיים.",0
ההורים החליטו לקחת אותם לפסיכולוג.,0
כיצד לשנות את המצב הבלתי נסבל.,0
ראה הפסיכולוג את השניים והציע תכנית.,0
מקמו אותם בחדרים נפרדים.,0
אפשרו לכל אחד בנפרד לפתוח את המתנות.,0
לאח הפסימיסט העניקו את הצעצועים הכי יקרים.,0
לאח האופטימיסט העניקו קופסה עם גללים של סוסים.,0
ההורים מילאו אחר הוראות הפסיכולוג.,0
בעודם מתבוננים באח הפסימיסט פותח את מתנותיו.,0
הוא השמיע רטינות ותלונות.,0
אני לא אוהב את הצבע של מכונית הצעצוע.,0
הדגם של המחשב הזה ישן.,0
לחבר שלי יש פאזל יותר טוב.,0
ברור לי שהמחשבון הזה יתקלקל.,0
שקטים והמומים עברו ההורים אל החדר הבא.,0
האח האופטימיסט משחק בשמחה בגללים.,0
ההורים מוכי התדהמה שאלו את הבן.,0
לא תצליחו לעבוד עלי.,0
במקום שבו יש כל כך הרבה גללים.,0
בוודאי מסתתר גם סוס פוני!,0
החיים צופנים אפשרויות בחירה.,0
האם אנחנו אופטימיסטים או פסימיסטים?,0
הצעד הראשון בדרך להיות ווינר.,0
למגר את המילים השליליות מהלקסיקון שלנו.,0
אנשים יכולים להיות עניים.,0
הם שהו מספר ימים ולילות בחווה.,0
בחוזרם מהטיול שאל האב את בנו.,0
איך היה הטיול?,0
ראית עד כמה עניים יכולים אנשים להיות?,0
"אז מה למדת מהטיול, בן?",0
ראיתי שלנו יש כלב אחד.,0
לנו יש בריכה שמגיעה עד אמצע החצר.,0
להם יש אפיק נחל שאין לו סוף.,0
לנו יש גופי תאורה מיובאים בגינה.,0
להם יש את הכוכבים המנצנצים כיהלומים.,0
מרפסת הפטיו שלנו מגיעה עד לחצר השכנים.,0
להם יש את כל האופק.,0
"לנו יש פיסת נדל""ן לחיות עליה.",0
להם יש שטחים עצומים.,0
לנו יש משרתים שישרתו אותנו.,0
אנחנו קונים את האוכל שלנו.,0
לנו יש חומות מסביב לרכושנו.,0
להם יש חברים שמגנים עליהם.,0
דברי הבן הותירו את האב המום.,0
"תודה אבא, שהראית לי כמה עניים אנחנו.",0
לימדת אותי שהכל יחסי.,0
מה שאחד רואה כחסר ערך.,0
זמן רב מדי התעסקתי עם מה שאין לי.,0
בחיבוק חם הוא עזב את אביו ההמום.,0
היה היו שתי צפרדעים שנפלו למכל שמנת.,0
הן הבינו שהן הולכות ושוקעות.,0
הן לא יכלו בשום אופן לשחות.,0
פרפרו שתי הצפרדעים בתוך השמנת.,0
אבל הן לא הצליחו.,0
הן התקשו יותר ויותר להרים את ראשן.,0
אחת מהן אמרה בקול רם.,0
אני לא יכולה יותר.,0
אי אפשר לצאת מכן.,0
בחומר הזה אי אפשר לשחות.,0
אני הולכת למות בכל מקרה.,0
אז למה להאריך את הסבל?,0
אני לא מבינה מה הטעם למות.,0
והיא הפסיקה לפרפר ושקעה במהירות בנוזל.,0
"הצפרדע השנייה, עקבית או אולי עקשנית יותר.",0
המצב חסר תקנה!,0
אין סיכוי שאצליח להתקדם.,0
למרות שהמוות מתקרב אני מעדיפה להילחם.,0
היא המשיכה לפרפר ולהשתכשך במקום.,0
הפכה השמנת לחמאה.,0
לילה אחד אדם חלם חלום.,0
הוא חלם שהוא הולך לאורך החוף.,0
השמיים חלפו במהירות סצנות מחייו.,0
בכל סצנה הוא שם לב לשני זוגות עקבות.,0
הוא הסתכל אחורה לעקבות שעל החול.,0
הוא שם לב שזה קרה בתקופות השפופות.,0
אתה תלך עמדי לאורך כל הדרך.,0
אני אוהב אותך ולעולם לא אעזבך.,0
היו אלה עקבותיי כשנשאתי אותך על כפיי.,0
הוא היה הבחור החזק בשכונה.,0
"היה לו כוח, הייתה בו קשיחות.",0
הוא ידע לארגן דברים.,0
כשהוא היה מדבר כולם היו מקשיבים.,0
"כשהוא היה נכנס, כולם הו עומדים.",0
כולם אומרים שהוא נולד מנהיג.,0
הוא לא רצה להיות מי שהוא.,0
הוא לא אהב להיות מי שהוא.,0
כבר נמאס לו להיות האיש החזק.,0
הוא גם רצה לבכות לפעמים.,0
הוא היה מראה לכולם שהוא יכול להסתדר לבד.,0
אסור היה לו להיות חלש.,0
הוא רצה להשליך הכל.,0
בשביל להיות מוג לב דרוש הרבה אומץ.,0
הוא פחד לקום יום אחד.,0
הוא התרגל לתשואות ההמונים.,0
"הוא התרגל לכבוד, להערכה.",0
לא ידע אם הוא באמת ראוי להם.,0
האם אוהבים אותו כי הוא מצחיק משעשע?,0
יש לו מסיכה של ביטחון עצמי?,0
אז יום אחד הוא בכה.,0
ולמה אתם לא בוכים?,0
"טוב, אז זה בדיוק מה שאין לי.",0
